suite,dimension,cell,n_funcs,mean_a12,ism_runtime_overhead_pct
cec2013,50,no_sgsm,28,0.419,+30.3
cec2013,50,no_adaptive,28,0.5175,
cec2013,50,no_finalpolish,28,0.6375,
