suite,dimension,n_blocks,k,q_alpha_005,critical_difference,algorithm,mean_rank
cec2020,10,10,7,2.949000e+00,2.849005e+00,gsk,6.200000e+00
cec2020,10,10,7,2.949000e+00,2.849005e+00,agsk,1.900000e+00
cec2020,10,10,7,2.949000e+00,2.849005e+00,apgsk,3.000000e+00
cec2020,10,10,7,2.949000e+00,2.849005e+00,fdb-agsk,2.200000e+00
cec2020,10,10,7,2.949000e+00,2.849005e+00,atmals-gsk,5.200000e+00
cec2020,10,10,7,2.949000e+00,2.849005e+00,egsk,5.400000e+00
cec2020,10,10,7,2.949000e+00,2.849005e+00,dt-gsk,4.100000e+00
