suite,dimension,function,comparator,test_level,n_pairs,n_eff,n_zero_discarded,statistic,p_exact,p_normal_approx,p_decision,p_holm,holm_m,method_decision,outcome,direction,rank_biserial,decidability,evidential_tier
cec2020,15,1,gsk,per_function_runlevel,30,0,30,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,10,exact_signflip_enumeration_2^n,tie,none,n/a,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,2,gsk,per_function_runlevel,30,30,0,3.000000e+00,9.313226e-09,2.478251e-06,9.313226e-09,6.519258e-08,10,exact_signflip_enumeration_2^n,win,favors_dt-gsk,9.870968e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,3,gsk,per_function_runlevel,30,30,0,0.000000e+00,1.862645e-09,1.827659e-06,1.862645e-09,1.862645e-08,10,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,4,gsk,per_function_runlevel,30,30,0,0.000000e+00,1.862645e-09,1.827659e-06,1.862645e-09,1.862645e-08,10,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,5,gsk,per_function_runlevel,30,30,0,1.930000e+02,4.279546e-01,4.224573e-01,4.279546e-01,1.000000e+00,10,exact_signflip_enumeration_2^n,tie,favors_dt-gsk,1.698925e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,6,gsk,per_function_runlevel,30,30,0,0.000000e+00,1.862645e-09,1.827659e-06,1.862645e-09,1.862645e-08,10,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,7,gsk,per_function_runlevel,30,30,0,1.360000e+02,4.725905e-02,4.831790e-02,4.725905e-02,2.362952e-01,10,exact_signflip_enumeration_2^n,tie,favors_dt-gsk,4.150538e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,8,gsk,per_function_runlevel,30,6,24,2.000000e+00,9.375000e-02,9.349244e-02,9.375000e-02,3.750000e-01,10,exact_signflip_enumeration_2^n,tie,favors_dt-gsk,8.095238e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,9,gsk,per_function_runlevel,30,29,1,4.000000e+00,2.607703e-08,4.114267e-06,2.607703e-08,1.564622e-07,10,exact_signflip_enumeration_2^n,win,favors_dt-gsk,9.816092e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,10,gsk,per_function_runlevel,30,0,30,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,10,exact_signflip_enumeration_2^n,tie,none,n/a,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,1,agsk,per_function_runlevel,30,0,30,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,10,exact_signflip_enumeration_2^n,tie,none,n/a,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,15,2,agsk,per_function_runlevel,30,30,0,6.900000e+01,4.183967e-04,8.005593e-04,4.183967e-04,2.928777e-03,10,exact_signflip_enumeration_2^n,win,favors_dt-gsk,7.032258e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
