suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed,availability
cec2020,10,8,apgsk,30,1.858356e+01,1.979179e+00,3.595303e+01,10000,"SeedSequence([20240620, 2020, 10, 8, 2])",ok
cec2020,10,8,fdb-agsk,30,2.198029e+01,2.420891e+00,4.064571e+01,10000,"SeedSequence([20240620, 2020, 10, 8, 3])",ok
cec2020,10,8,atmals-gsk,30,-8.091505e+00,-2.407454e+01,9.700087e+00,10000,"SeedSequence([20240620, 2020, 10, 8, 4])",ok
cec2020,10,8,egsk,30,-2.072167e+01,-3.575736e+01,-1.010578e+01,10000,"SeedSequence([20240620, 2020, 10, 8, 5])",ok
cec2020,10,9,gsk,30,-3.302626e+01,-7.164554e+01,-2.182503e+00,10000,"SeedSequence([20240620, 2020, 10, 9, 0])",ok
cec2020,10,9,agsk,30,1.899766e+02,1.519089e+02,2.175221e+02,10000,"SeedSequence([20240620, 2020, 10, 9, 1])",ok
cec2020,10,9,apgsk,30,1.899603e+02,1.504733e+02,2.192196e+02,10000,"SeedSequence([20240620, 2020, 10, 9, 2])",ok
cec2020,10,9,fdb-agsk,30,1.866432e+02,1.498957e+02,2.124073e+02,10000,"SeedSequence([20240620, 2020, 10, 9, 3])",ok
cec2020,10,9,atmals-gsk,30,6.027686e+01,1.280669e+01,1.052720e+02,10000,"SeedSequence([20240620, 2020, 10, 9, 4])",ok
cec2020,10,9,egsk,30,-5.848232e+00,-4.691204e+01,3.525675e+01,10000,"SeedSequence([20240620, 2020, 10, 9, 5])",ok
cec2020,10,10,gsk,30,-3.071909e+00,-9.376490e+00,1.730480e+00,10000,"SeedSequence([20240620, 2020, 10, 10, 0])",ok
cec2020,10,10,agsk,30,6.135933e+01,3.001654e+01,1.125607e+02,10000,"SeedSequence([20240620, 2020, 10, 10, 1])",ok
cec2020,10,10,apgsk,30,5.143378e+01,2.156571e+01,1.010381e+02,10000,"SeedSequence([20240620, 2020, 10, 10, 2])",ok
cec2020,10,10,fdb-agsk,30,4.150975e+01,1.029248e+01,9.383335e+01,10000,"SeedSequence([20240620, 2020, 10, 10, 3])",ok
cec2020,10,10,atmals-gsk,30,-3.135021e+00,-9.360704e+00,1.498588e+00,10000,"SeedSequence([20240620, 2020, 10, 10, 4])",ok
cec2020,10,10,egsk,30,-2.038303e+00,-7.891450e+00,2.522918e+00,10000,"SeedSequence([20240620, 2020, 10, 10, 5])",ok
