suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed,availability
cec2020,15,1,gsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,15,1,agsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,15,1,apgsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,15,1,fdb-agsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,15,1,atmals-gsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,15,1,egsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,15,2,gsk,30,-8.824795e+02,-1.108556e+03,-6.292269e+02,10000,"SeedSequence([20240620, 2020, 15, 2, 0])",ok
cec2020,15,2,agsk,30,-2.910206e+01,-4.977471e+01,-9.217311e+00,10000,"SeedSequence([20240620, 2020, 15, 2, 1])",ok
cec2020,15,2,apgsk,30,-8.680557e+01,-1.051998e+02,-6.484950e+01,10000,"SeedSequence([20240620, 2020, 15, 2, 2])",ok
cec2020,15,2,fdb-agsk,30,-2.128971e+01,-4.069032e+01,-2.748650e+00,10000,"SeedSequence([20240620, 2020, 15, 2, 3])",ok
cec2020,15,2,atmals-gsk,30,-4.805973e+02,-5.628356e+02,-4.004167e+02,10000,"SeedSequence([20240620, 2020, 15, 2, 4])",ok
cec2020,15,2,egsk,30,-1.996905e+02,-3.195373e+02,-1.219763e+02,10000,"SeedSequence([20240620, 2020, 15, 2, 5])",ok
cec2020,15,3,gsk,30,-1.703265e+01,-2.054531e+01,-1.314103e+01,10000,"SeedSequence([20240620, 2020, 15, 3, 0])",ok
cec2020,15,3,agsk,30,3.918570e-01,-9.782797e-02,2.252137e+00,10000,"SeedSequence([20240620, 2020, 15, 3, 1])",ok
cec2020,15,3,apgsk,30,6.648120e-02,-1.148290e+00,2.247505e+00,10000,"SeedSequence([20240620, 2020, 15, 3, 2])",ok
cec2020,15,3,fdb-agsk,30,1.670841e+00,2.525040e-01,4.062725e+00,10000,"SeedSequence([20240620, 2020, 15, 3, 3])",ok
cec2020,15,3,atmals-gsk,30,-9.113366e+00,-1.034168e+01,-7.776468e+00,10000,"SeedSequence([20240620, 2020, 15, 3, 4])",ok
cec2020,15,3,egsk,30,-4.462056e+00,-5.425394e+00,-3.703591e+00,10000,"SeedSequence([20240620, 2020, 15, 3, 5])",ok
cec2020,15,4,gsk,30,-2.544779e+00,-2.710203e+00,-2.247610e+00,10000,"SeedSequence([20240620, 2020, 15, 4, 0])",ok
cec2020,15,4,agsk,30,1.572533e-01,1.238208e-01,1.854712e-01,10000,"SeedSequence([20240620, 2020, 15, 4, 1])",ok
cec2020,15,4,apgsk,30,7.995354e-02,3.639301e-02,1.209138e-01,10000,"SeedSequence([20240620, 2020, 15, 4, 2])",ok
cec2020,15,4,fdb-agsk,30,8.725650e-02,4.710803e-02,1.274180e-01,10000,"SeedSequence([20240620, 2020, 15, 4, 3])",ok
cec2020,15,4,atmals-gsk,30,-1.200461e-01,-1.733960e-01,-7.635009e-02,10000,"SeedSequence([20240620, 2020, 15, 4, 4])",ok
cec2020,15,4,egsk,30,-4.473932e-01,-5.458134e-01,-3.710094e-01,10000,"SeedSequence([20240620, 2020, 15, 4, 5])",ok
cec2020,15,5,gsk,30,9.602291e+00,-1.049790e+01,3.033330e+01,10000,"SeedSequence([20240620, 2020, 15, 5, 0])",ok
cec2020,15,5,agsk,30,1.695578e+01,3.825430e+00,3.768985e+01,10000,"SeedSequence([20240620, 2020, 15, 5, 1])",ok
cec2020,15,5,apgsk,30,8.713195e+00,-4.189291e+00,2.825447e+01,10000,"SeedSequence([20240620, 2020, 15, 5, 2])",ok
cec2020,15,5,fdb-agsk,30,1.339135e+01,7.112976e-01,3.378835e+01,10000,"SeedSequence([20240620, 2020, 15, 5, 3])",ok
cec2020,15,5,atmals-gsk,30,-1.084580e+01,-3.327652e+01,1.128445e+01,10000,"SeedSequence([20240620, 2020, 15, 5, 4])",ok
cec2020,15,5,egsk,30,-1.724884e+01,-4.324727e+01,7.043895e+00,10000,"SeedSequence([20240620, 2020, 15, 5, 5])",ok
cec2020,15,6,gsk,30,-3.178319e+00,-5.391227e+00,-1.813498e+00,10000,"SeedSequence([20240620, 2020, 15, 6, 0])",ok
cec2020,15,6,agsk,30,-7.124387e-02,-2.191609e-01,2.743572e-02,10000,"SeedSequence([20240620, 2020, 15, 6, 1])",ok
cec2020,15,6,apgsk,30,-6.992385e-01,-2.014806e+00,-1.605350e-01,10000,"SeedSequence([20240620, 2020, 15, 6, 2])",ok
cec2020,15,6,fdb-agsk,30,-3.849755e-01,-5.240821e-01,-2.637409e-01,10000,"SeedSequence([20240620, 2020, 15, 6, 3])",ok
cec2020,15,6,atmals-gsk,30,-3.660158e+00,-5.484460e+00,-2.267723e+00,10000,"SeedSequence([20240620, 2020, 15, 6, 4])",ok
cec2020,15,6,egsk,30,-2.950304e+00,-6.460873e+00,-1.410066e+00,10000,"SeedSequence([20240620, 2020, 15, 6, 5])",ok
cec2020,15,7,gsk,30,-8.774162e-01,-1.289961e+01,1.088451e+01,10000,"SeedSequence([20240620, 2020, 15, 7, 0])",ok
cec2020,15,7,agsk,30,4.601893e+00,3.347191e-01,2.091147e+01,10000,"SeedSequence([20240620, 2020, 15, 7, 1])",ok
cec2020,15,7,apgsk,30,4.468407e+00,2.212402e-01,2.063874e+01,10000,"SeedSequence([20240620, 2020, 15, 7, 2])",ok
cec2020,15,7,fdb-agsk,30,4.590338e+00,3.233099e-01,2.466965e+01,10000,"SeedSequence([20240620, 2020, 15, 7, 3])",ok
cec2020,15,7,atmals-gsk,30,-1.196929e+01,-3.176922e+01,3.920971e+00,10000,"SeedSequence([20240620, 2020, 15, 7, 4])",ok
cec2020,15,7,egsk,30,-1.246381e+01,-3.170586e+01,2.915344e+00,10000,"SeedSequence([20240620, 2020, 15, 7, 5])",ok
cec2020,15,8,gsk,30,-7.366579e+00,-1.941123e+01,-1.882955e+00,10000,"SeedSequence([20240620, 2020, 15, 8, 0])",ok
cec2020,15,8,agsk,30,2.219483e+01,4.552273e+00,3.851063e+01,10000,"SeedSequence([20240620, 2020, 15, 8, 1])",ok
cec2020,15,8,apgsk,30,1.205495e+01,1.421855e-01,2.490309e+01,10000,"SeedSequence([20240620, 2020, 15, 8, 2])",ok
cec2020,15,8,fdb-agsk,30,1.579707e+01,2.555051e+00,2.932307e+01,10000,"SeedSequence([20240620, 2020, 15, 8, 3])",ok
cec2020,15,8,atmals-gsk,30,-7.605607e+00,-1.918824e+01,-2.085659e+00,10000,"SeedSequence([20240620, 2020, 15, 8, 4])",ok
cec2020,15,8,egsk,30,-1.112548e+01,-2.382136e+01,-3.892522e+00,10000,"SeedSequence([20240620, 2020, 15, 8, 5])",ok
cec2020,15,9,gsk,30,-7.670366e+01,-1.019672e+02,-6.097873e+01,10000,"SeedSequence([20240620, 2020, 15, 9, 0])",ok
cec2020,15,9,agsk,30,1.974624e+02,1.678941e+02,2.164823e+02,10000,"SeedSequence([20240620, 2020, 15, 9, 1])",ok
cec2020,15,9,apgsk,30,1.788994e+02,1.337599e+02,2.100670e+02,10000,"SeedSequence([20240620, 2020, 15, 9, 2])",ok
cec2020,15,9,fdb-agsk,30,2.141290e+02,1.905268e+02,2.299263e+02,10000,"SeedSequence([20240620, 2020, 15, 9, 3])",ok
cec2020,15,9,atmals-gsk,30,-6.645509e+01,-9.053972e+01,-3.624442e+01,10000,"SeedSequence([20240620, 2020, 15, 9, 4])",ok
