suite,dimension,function,algorithm,best,median,mean,worst,sd,n_runs
cec2020,15,1,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,15,1,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,15,1,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,15,1,fdb-agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,15,1,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,15,1,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,15,1,dt-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,15,2,gsk,3.330992e-01,1.332281e+03,8.987304e+02,1.712361e+03,6.833516e+02,30
cec2020,15,2,agsk,5.157109e+00,2.551618e+01,4.535304e+01,1.369695e+02,4.477165e+01,30
cec2020,15,2,apgsk,8.989703e+00,1.277069e+02,1.030566e+02,1.601073e+02,5.231215e+01,30
cec2020,15,2,fdb-agsk,1.314787e+00,2.039882e+01,3.754070e+01,1.454949e+02,4.438044e+01,30
cec2020,15,2,atmals-gsk,1.525027e+02,5.025504e+02,4.968483e+02,9.448281e+02,2.256033e+02,30
cec2020,15,2,egsk,4.636676e+00,1.359599e+02,2.159415e+02,1.128453e+03,2.696271e+02,30
cec2020,15,2,dt-gsk,1.249122e-01,2.737327e+00,1.625099e+01,1.266681e+02,3.630576e+01,30
cec2020,15,3,gsk,1.648212e+01,3.663921e+01,3.267377e+01,4.540421e+01,1.048825e+01,30
cec2020,15,3,agsk,1.989918e+00,1.556698e+01,1.524926e+01,1.652822e+01,2.514478e+00,30
cec2020,15,3,apgsk,2.159600e+00,1.696426e+01,1.557464e+01,2.002170e+01,4.488843e+00,30
cec2020,15,3,fdb-agsk,0.000000e+00,1.560664e+01,1.397028e+01,1.679479e+01,5.034737e+00,30
cec2020,15,3,atmals-gsk,1.714883e+01,2.497758e+01,2.475449e+01,3.112674e+01,3.675862e+00,30
cec2020,15,3,egsk,1.665600e+01,1.910740e+01,2.010318e+01,2.615293e+01,2.442087e+00,30
cec2020,15,3,dt-gsk,1.556698e+01,1.556698e+01,1.564112e+01,1.621560e+01,1.615547e-01,30
cec2020,15,4,gsk,7.799011e-01,2.989389e+00,2.861102e+00,3.463210e+00,6.195529e-01,30
cec2020,15,4,agsk,4.151783e-02,1.339403e-01,1.590702e-01,3.896239e-01,8.377393e-02,30
cec2020,15,4,apgsk,7.262994e-02,2.379685e-01,2.363700e-01,5.029141e-01,1.227999e-01,30
cec2020,15,4,fdb-agsk,2.276534e-02,2.251714e-01,2.290670e-01,4.197745e-01,1.072872e-01,30
