suite,dimension,function,comparator,test_level,n_pairs,n_eff,n_zero_discarded,statistic,p_exact,p_normal_approx,p_decision,p_holm,holm_m,method_decision,outcome,direction,rank_biserial,decidability,evidential_tier
cec2020,5,1,gsk,per_function_runlevel,30,0,30,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,8,exact_signflip_enumeration_2^n,tie,none,n/a,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,2,gsk,per_function_runlevel,30,30,0,1.000000e+00,3.725290e-09,2.023744e-06,3.725290e-09,2.235174e-08,8,exact_signflip_enumeration_2^n,win,favors_dt-gsk,9.956989e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,3,gsk,per_function_runlevel,30,30,0,0.000000e+00,1.862645e-09,1.827659e-06,1.862645e-09,1.490116e-08,8,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,4,gsk,per_function_runlevel,30,30,0,0.000000e+00,1.862645e-09,1.827659e-06,1.862645e-09,1.490116e-08,8,exact_signflip_enumeration_2^n,win,favors_dt-gsk,1.000000e+00,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,5,gsk,per_function_runlevel,30,1,29,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,8,exact_signflip_enumeration_2^n,tie,favors_comparator,-1.000000e+00,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,8,gsk,per_function_runlevel,30,4,26,0.000000e+00,1.250000e-01,1.003482e-01,1.250000e-01,5.000000e-01,8,exact_signflip_enumeration_2^n,tie,favors_comparator,-1.000000e+00,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,9,gsk,per_function_runlevel,30,9,21,2.100000e+01,9.062500e-01,9.056954e-01,9.062500e-01,1.000000e+00,8,exact_signflip_enumeration_2^n,tie,favors_comparator,-6.666667e-02,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,10,gsk,per_function_runlevel,30,8,22,2.000000e+00,2.343750e-02,2.997387e-02,2.343750e-02,1.171875e-01,8,exact_signflip_enumeration_2^n,tie,favors_dt-gsk,8.888889e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,1,agsk,per_function_runlevel,30,0,30,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,8,exact_signflip_enumeration_2^n,tie,none,n/a,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,2,agsk,per_function_runlevel,30,30,0,5.600000e+01,1.105815e-04,2.946429e-04,1.105815e-04,7.740706e-04,8,exact_signflip_enumeration_2^n,win,favors_dt-gsk,7.591398e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,3,agsk,per_function_runlevel,30,27,3,5.000000e+01,4.272312e-04,8.765215e-04,4.272312e-04,2.563387e-03,8,exact_signflip_enumeration_2^n,loss,favors_comparator,-7.354497e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,4,agsk,per_function_runlevel,30,30,0,2.320000e+02,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,8,exact_signflip_enumeration_2^n,tie,favors_dt-gsk,2.150538e-03,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,5,agsk,per_function_runlevel,30,2,28,0.000000e+00,5.000000e-01,3.710933e-01,5.000000e-01,1.000000e+00,8,exact_signflip_enumeration_2^n,tie,favors_comparator,-1.000000e+00,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,8,agsk,per_function_runlevel,30,4,26,0.000000e+00,1.250000e-01,1.003482e-01,1.250000e-01,5.000000e-01,8,exact_signflip_enumeration_2^n,tie,favors_comparator,-1.000000e+00,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,9,agsk,per_function_runlevel,30,22,8,1.000000e+01,9.536743e-06,1.659263e-04,9.536743e-06,7.629395e-05,8,exact_signflip_enumeration_2^n,loss,favors_comparator,-9.209486e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,10,agsk,per_function_runlevel,30,22,8,2.600000e+01,4.620552e-04,1.168191e-03,4.620552e-04,2.563387e-03,8,exact_signflip_enumeration_2^n,loss,favors_comparator,-7.944664e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,1,apgsk,per_function_runlevel,30,0,30,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,8,exact_signflip_enumeration_2^n,tie,none,n/a,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,2,apgsk,per_function_runlevel,30,30,0,3.000000e+01,3.790483e-06,3.257569e-05,3.790483e-06,2.274290e-05,8,exact_signflip_enumeration_2^n,win,favors_dt-gsk,8.709677e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,3,apgsk,per_function_runlevel,30,30,0,3.700000e+01,1.055002e-05,6.053538e-05,1.055002e-05,5.275011e-05,8,exact_signflip_enumeration_2^n,loss,favors_comparator,-8.408602e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,4,apgsk,per_function_runlevel,30,30,0,8.800000e+01,2.187775e-03,3.058196e-03,2.187775e-03,8.751102e-03,8,exact_signflip_enumeration_2^n,loss,favors_comparator,-6.215054e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,5,apgsk,per_function_runlevel,30,2,28,0.000000e+00,5.000000e-01,3.710933e-01,5.000000e-01,1.000000e+00,8,exact_signflip_enumeration_2^n,tie,favors_comparator,-1.000000e+00,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,8,apgsk,per_function_runlevel,30,4,26,0.000000e+00,1.250000e-01,1.003482e-01,1.250000e-01,3.750000e-01,8,exact_signflip_enumeration_2^n,tie,favors_comparator,-1.000000e+00,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,9,apgsk,per_function_runlevel,30,26,4,0.000000e+00,2.980232e-08,8.811252e-06,2.980232e-08,2.384186e-07,8,exact_signflip_enumeration_2^n,loss,favors_comparator,-1.000000e+00,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,10,apgsk,per_function_runlevel,30,24,6,0.000000e+00,1.192093e-07,1.943587e-05,1.192093e-07,8.344650e-07,8,exact_signflip_enumeration_2^n,loss,favors_comparator,-1.000000e+00,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,1,fdb-agsk,per_function_runlevel,30,0,30,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,8,exact_signflip_enumeration_2^n,tie,none,n/a,not decidable at alpha=0.05 (exact two-sided floor 2/2^5 = 0.0625),pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,2,fdb-agsk,per_function_runlevel,30,30,0,3.400000e+01,6.917864e-06,4.652921e-05,6.917864e-06,4.150718e-05,8,exact_signflip_enumeration_2^n,win,favors_dt-gsk,8.537634e-01,decidable,pre-registered confirmatory (addendum Sections 3-4)
cec2020,5,3,fdb-agsk,per_function_runlevel,30,30,0,0.000000e+00,1.862645e-09,1.827659e-06,1.862645e-09,1.490116e-08,8,exact_signflip_enumeration_2^n,loss,favors_comparator,-1.000000e+00,decidable,pre-registered confirmatory (addendum Sections 3-4)
