suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed,availability
cec2020,5,1,gsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,5,1,agsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,5,1,apgsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,5,1,fdb-agsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,5,1,atmals-gsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,5,1,egsk,30,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2020,5,2,gsk,30,-9.989861e+01,-1.230250e+02,-8.233925e+01,10000,"SeedSequence([20240620, 2020, 5, 2, 0])",ok
cec2020,5,2,agsk,30,-8.072678e+00,-1.935223e+01,2.961982e+00,10000,"SeedSequence([20240620, 2020, 5, 2, 1])",ok
cec2020,5,2,apgsk,30,-2.124072e+01,-3.947804e+01,-7.929052e+00,10000,"SeedSequence([20240620, 2020, 5, 2, 2])",ok
cec2020,5,2,fdb-agsk,30,-1.076448e+01,-2.059360e+01,2.189729e+00,10000,"SeedSequence([20240620, 2020, 5, 2, 3])",ok
cec2020,5,2,atmals-gsk,30,-1.603916e+01,-2.896165e+01,-1.898272e+00,10000,"SeedSequence([20240620, 2020, 5, 2, 4])",ok
cec2020,5,2,egsk,30,-3.685735e+01,-5.058349e+01,-2.372467e+01,10000,"SeedSequence([20240620, 2020, 5, 2, 5])",ok
cec2020,5,3,gsk,30,-2.012927e+00,-2.351740e+00,-1.741182e+00,10000,"SeedSequence([20240620, 2020, 5, 3, 0])",ok
cec2020,5,3,agsk,30,2.243199e+00,1.334437e+00,3.061873e+00,10000,"SeedSequence([20240620, 2020, 5, 3, 1])",ok
cec2020,5,3,apgsk,30,2.442578e+00,1.662560e+00,3.128558e+00,10000,"SeedSequence([20240620, 2020, 5, 3, 2])",ok
cec2020,5,3,fdb-agsk,30,3.348438e+00,2.844859e+00,3.753925e+00,10000,"SeedSequence([20240620, 2020, 5, 3, 3])",ok
cec2020,5,3,atmals-gsk,30,-1.088073e+00,-1.564937e+00,-4.581294e-01,10000,"SeedSequence([20240620, 2020, 5, 3, 4])",ok
cec2020,5,3,egsk,30,-6.578519e-01,-1.087890e+00,-4.340142e-01,10000,"SeedSequence([20240620, 2020, 5, 3, 5])",ok
cec2020,5,4,gsk,30,-2.434756e-01,-2.732278e-01,-2.100500e-01,10000,"SeedSequence([20240620, 2020, 5, 4, 0])",ok
cec2020,5,4,agsk,30,-3.984856e-03,-3.064417e-02,1.638676e-02,10000,"SeedSequence([20240620, 2020, 5, 4, 1])",ok
cec2020,5,4,apgsk,30,4.365981e-02,1.374885e-02,6.683318e-02,10000,"SeedSequence([20240620, 2020, 5, 4, 2])",ok
cec2020,5,4,fdb-agsk,30,-1.048321e-02,-4.144665e-02,2.146080e-02,10000,"SeedSequence([20240620, 2020, 5, 4, 3])",ok
cec2020,5,4,atmals-gsk,30,-6.690261e-02,-9.773330e-02,-3.643950e-02,10000,"SeedSequence([20240620, 2020, 5, 4, 4])",ok
cec2020,5,4,egsk,30,-2.765401e-02,-6.144735e-02,2.726564e-03,10000,"SeedSequence([20240620, 2020, 5, 4, 5])",ok
cec2020,5,5,gsk,30,2.080331e-02,0.000000e+00,6.240993e-02,10000,"SeedSequence([20240620, 2020, 5, 5, 0])",ok
cec2020,5,5,agsk,30,4.160662e-02,0.000000e+00,1.040166e-01,10000,"SeedSequence([20240620, 2020, 5, 5, 1])",ok
cec2020,5,5,apgsk,30,4.160662e-02,0.000000e+00,1.040166e-01,10000,"SeedSequence([20240620, 2020, 5, 5, 2])",ok
cec2020,5,5,fdb-agsk,30,4.160662e-02,0.000000e+00,1.040166e-01,10000,"SeedSequence([20240620, 2020, 5, 5, 3])",ok
