suite,dimension,function,algorithm,best,median,mean,worst,sd,n_runs
cec2020,10,1,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,10,1,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,10,1,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,10,1,fdb-agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,10,1,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,10,1,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,10,1,dt-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,10,2,gsk,2.433463e+02,6.293564e+02,6.073491e+02,8.517257e+02,1.546861e+02,30
cec2020,10,2,agsk,3.727437e+00,2.838927e+01,4.055242e+01,1.348954e+02,3.822989e+01,30
cec2020,10,2,apgsk,5.469854e+00,3.259084e+01,5.043178e+01,1.972480e+02,5.018609e+01,30
cec2020,10,2,fdb-agsk,2.498178e-01,1.820794e+01,3.231738e+01,1.748931e+02,3.806860e+01,30
cec2020,10,2,atmals-gsk,3.664977e+00,2.617237e+02,2.988261e+02,8.082048e+02,1.971013e+02,30
cec2020,10,2,egsk,3.789687e+00,1.326981e+02,1.580185e+02,6.255659e+02,1.568700e+02,30
cec2020,10,2,dt-gsk,2.636552e-01,1.036979e+01,1.694836e+01,2.016084e+02,3.558823e+01,30
cec2020,10,3,gsk,1.490477e+01,1.846606e+01,1.884176e+01,2.187168e+01,1.801701e+00,30
cec2020,10,3,agsk,1.989918e+00,1.163335e+01,1.003000e+01,1.412358e+01,3.829623e+00,30
cec2020,10,3,apgsk,1.989918e+00,1.336107e+01,1.217305e+01,1.661851e+01,3.993531e+00,30
cec2020,10,3,fdb-agsk,5.093860e-01,7.789422e+00,7.947312e+00,1.287465e+01,3.732927e+00,30
cec2020,10,3,atmals-gsk,1.092074e+01,1.599567e+01,1.568524e+01,2.130639e+01,2.653859e+00,30
cec2020,10,3,egsk,1.036692e+01,1.150523e+01,1.156780e+01,1.351572e+01,7.734949e-01,30
cec2020,10,3,dt-gsk,3.494263e+00,1.098805e+01,1.079454e+01,1.233938e+01,1.701288e+00,30
cec2020,10,4,gsk,8.570172e-01,1.277585e+00,1.247460e+00,1.529394e+00,1.767608e-01,30
cec2020,10,4,agsk,2.725307e-04,8.844753e-02,1.078580e-01,2.826795e-01,7.157012e-02,30
cec2020,10,4,apgsk,1.201378e-02,1.001656e-01,1.032369e-01,2.608936e-01,5.938117e-02,30
cec2020,10,4,fdb-agsk,1.134364e-02,1.024732e-01,1.233482e-01,3.115283e-01,8.534884e-02,30
cec2020,10,4,atmals-gsk,1.402852e-01,2.943606e-01,3.188872e-01,6.981629e-01,1.231660e-01,30
cec2020,10,4,egsk,1.543976e-01,3.888492e-01,3.864002e-01,7.044685e-01,1.190151e-01,30
cec2020,10,4,dt-gsk,1.004546e-01,2.017821e-01,1.892549e-01,2.518553e-01,3.500951e-02,30
cec2020,10,5,gsk,0.000000e+00,4.162860e-01,7.679035e-01,1.158924e+01,2.049915e+00,30
cec2020,10,5,agsk,0.000000e+00,4.162860e-01,2.968131e-01,1.203102e+00,2.426285e-01,30
