suite,dimension,function,algorithm,best,median,mean,worst,sd,n_runs
cec2020,20,1,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,20,1,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,20,1,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,20,1,fdb-agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,20,1,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,20,1,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,20,1,dt-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30
cec2020,20,2,gsk,6.986334e+00,8.239802e+01,3.536200e+02,2.511122e+03,7.005793e+02,30
cec2020,20,2,agsk,6.245692e-02,1.814067e+00,1.900742e+00,7.985878e+00,2.012976e+00,30
cec2020,20,2,apgsk,1.881387e-01,3.529833e+00,4.777199e+00,1.675510e+01,3.974045e+00,30
cec2020,20,2,fdb-agsk,9.429367e-02,2.058356e+00,2.453042e+00,7.495391e+00,2.137087e+00,30
cec2020,20,2,atmals-gsk,1.676623e+02,6.274480e+02,6.197313e+02,1.327955e+03,2.688348e+02,30
cec2020,20,2,egsk,7.809916e+00,4.434146e+02,4.331069e+02,1.029781e+03,3.116024e+02,30
cec2020,20,2,dt-gsk,9.455007e+00,1.317396e+02,1.604173e+02,6.426911e+02,1.746759e+02,30
cec2020,20,3,gsk,2.264262e+01,2.480673e+01,2.601978e+01,5.942676e+01,6.425841e+00,30
cec2020,20,3,agsk,2.038722e+01,2.038722e+01,2.041519e+01,2.071544e+01,7.818550e-02,30
cec2020,20,3,apgsk,5.569867e+00,2.136995e+01,2.098487e+01,2.316531e+01,2.974539e+00,30
cec2020,20,3,fdb-agsk,9.949591e-01,2.038722e+01,1.933956e+01,2.077133e+01,4.249710e+00,30
cec2020,20,3,atmals-gsk,2.238485e+01,2.782160e+01,2.851464e+01,3.633788e+01,3.549246e+00,30
cec2020,20,3,egsk,2.418425e+01,2.694499e+01,2.773241e+01,4.095127e+01,3.408796e+00,30
cec2020,20,3,dt-gsk,2.343515e+01,2.705996e+01,2.714521e+01,3.137628e+01,2.226003e+00,30
cec2020,20,4,gsk,1.054507e+00,4.908811e+00,4.311597e+00,5.718218e+00,1.383472e+00,30
