Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,1.3147865719E+00,2.0398824151E+01,3.7540700685E+01,1.4549490941E+02,4.4380440932E+01
3,0.0000000000E+00,1.5606637363E+01,1.3970279013E+01,1.6794785453E+01,5.0347373693E+00
4,2.2765343971E-02,2.2517140961E-01,2.2906702793E-01,4.1977451128E-01,1.0728715049E-01
5,1.5908627468E+00,7.7628633289E+00,9.0438084137E+00,3.4454131433E+01,6.9198043281E+00
6,8.1218131394E-02,6.2610345522E-01,6.3894119417E-01,1.5329423057E+00,3.2414145245E-01
7,3.2931273436E-02,2.4921283389E-01,2.5394854270E-01,6.2392213349E-01,1.5059534731E-01
8,0.0000000000E+00,1.0000000000E+02,7.6881724097E+01,1.0000000000E+02,3.4380776922E+01
9,0.0000000000E+00,1.0000000000E+02,9.6666666667E+01,1.0000000000E+02,1.8257418584E+01
10,4.0000000000E+02,4.0000000000E+02,4.0000000000E+02,4.0000000000E+02,2.6176932295E-13
