suite,dimension,function,algorithm,checkpoint_nfes,mean_error,n_runs,availability
cec2011,6,1,dt-gsk,45000,2.671020e+00,25,ok
cec2011,6,1,dt-gsk,60000,1.829905e+00,25,ok
cec2011,6,1,dt-gsk,75000,1.474974e+00,25,ok
cec2011,6,1,dt-gsk,90000,1.473476e+00,25,ok
cec2011,6,1,dt-gsk,105000,1.472923e+00,25,ok
cec2011,6,1,dt-gsk,120000,1.432226e+00,25,ok
cec2011,6,1,dt-gsk,135000,1.365616e+00,25,ok
cec2011,6,1,dt-gsk,150000,1.361812e+00,25,ok
cec2011,30,2,gsk,1500,-3.097531e+00,25,ok
cec2011,30,2,gsk,3000,-3.297175e+00,25,ok
cec2011,30,2,gsk,4500,-3.728291e+00,25,ok
cec2011,30,2,gsk,7500,-4.008607e+00,25,ok
cec2011,30,2,gsk,15000,-4.652608e+00,25,ok
cec2011,30,2,gsk,30000,-5.864925e+00,25,ok
cec2011,30,2,gsk,45000,-7.048937e+00,25,ok
cec2011,30,2,gsk,60000,-8.514447e+00,25,ok
cec2011,30,2,gsk,75000,-9.271906e+00,25,ok
cec2011,30,2,gsk,90000,-9.880104e+00,25,ok
cec2011,30,2,gsk,105000,-1.026517e+01,25,ok
cec2011,30,2,gsk,120000,-1.063362e+01,25,ok
cec2011,30,2,gsk,135000,-1.095039e+01,25,ok
cec2011,30,2,gsk,150000,-1.119149e+01,25,ok
cec2011,30,2,agsk,1500,-2.721288e+00,25,ok
cec2011,30,2,agsk,3000,-3.390696e+00,25,ok
cec2011,30,2,agsk,4500,-3.785185e+00,25,ok
cec2011,30,2,agsk,7500,-4.427985e+00,25,ok
cec2011,30,2,agsk,15000,-5.685248e+00,25,ok
cec2011,30,2,agsk,30000,-7.396793e+00,25,ok
cec2011,30,2,agsk,45000,-8.634454e+00,25,ok
cec2011,30,2,agsk,60000,-9.843103e+00,25,ok
cec2011,30,2,agsk,75000,-1.087245e+01,25,ok
cec2011,30,2,agsk,90000,-1.184369e+01,25,ok
cec2011,30,2,agsk,105000,-1.289162e+01,25,ok
cec2011,30,2,agsk,120000,-1.399894e+01,25,ok
cec2011,30,2,agsk,135000,-1.506730e+01,25,ok
cec2011,30,2,agsk,150000,-1.587733e+01,25,ok
cec2011,30,2,apgsk,1500,-2.925435e+00,25,ok
cec2011,30,2,apgsk,3000,-3.676424e+00,25,ok
cec2011,30,2,apgsk,4500,-3.946087e+00,25,ok
cec2011,30,2,apgsk,7500,-4.494381e+00,25,ok
cec2011,30,2,apgsk,15000,-5.674211e+00,25,ok
cec2011,30,2,apgsk,30000,-8.499577e+00,25,ok
cec2011,30,2,apgsk,45000,-1.022615e+01,25,ok
cec2011,30,2,apgsk,60000,-1.146147e+01,25,ok
cec2011,30,2,apgsk,75000,-1.307187e+01,25,ok
cec2011,30,2,apgsk,90000,-1.361658e+01,25,ok
cec2011,30,2,apgsk,105000,-1.471202e+01,25,ok
cec2011,30,2,apgsk,120000,-1.604006e+01,25,ok
cec2011,30,2,apgsk,135000,-1.737391e+01,25,ok
cec2011,30,2,apgsk,150000,-1.814894e+01,25,ok
cec2011,30,2,fdb-agsk,1500,-2.760673e+00,25,ok
cec2011,30,2,fdb-agsk,3000,-3.380019e+00,25,ok
cec2011,30,2,fdb-agsk,4500,-3.910571e+00,25,ok
cec2011,30,2,fdb-agsk,7500,-4.619287e+00,25,ok
cec2011,30,2,fdb-agsk,15000,-6.203456e+00,25,ok
cec2011,30,2,fdb-agsk,30000,-8.042966e+00,25,ok
cec2011,30,2,fdb-agsk,45000,-9.595251e+00,25,ok
cec2011,30,2,fdb-agsk,60000,-1.081132e+01,25,ok
cec2011,30,2,fdb-agsk,75000,-1.245259e+01,25,ok
cec2011,30,2,fdb-agsk,90000,-1.360443e+01,25,ok
cec2011,30,2,fdb-agsk,105000,-1.476086e+01,25,ok
cec2011,30,2,fdb-agsk,120000,-1.597912e+01,25,ok
cec2011,30,2,fdb-agsk,135000,-1.724466e+01,25,ok
cec2011,30,2,fdb-agsk,150000,-1.822668e+01,25,ok
cec2011,30,2,atmals-gsk,1500,-3.898888e+00,25,ok
cec2011,30,2,atmals-gsk,3000,-5.121991e+00,25,ok
cec2011,30,2,atmals-gsk,4500,-6.142861e+00,25,ok
cec2011,30,2,atmals-gsk,7500,-7.724719e+00,25,ok
cec2011,30,2,atmals-gsk,15000,-9.920894e+00,25,ok
cec2011,30,2,atmals-gsk,30000,-1.176378e+01,25,ok
cec2011,30,2,atmals-gsk,45000,-1.265524e+01,25,ok
cec2011,30,2,atmals-gsk,60000,-1.337226e+01,25,ok
cec2011,30,2,atmals-gsk,75000,-1.438847e+01,25,ok
cec2011,30,2,atmals-gsk,90000,-1.503094e+01,25,ok
cec2011,30,2,atmals-gsk,105000,-1.562419e+01,25,ok
cec2011,30,2,atmals-gsk,120000,-1.607272e+01,25,ok
cec2011,30,2,atmals-gsk,135000,-1.666316e+01,25,ok
cec2011,30,2,atmals-gsk,150000,-1.720993e+01,25,ok
cec2011,30,2,egsk,1500,-3.035322e+00,25,ok
cec2011,30,2,egsk,3000,-3.468012e+00,25,ok
cec2011,30,2,egsk,4500,-3.787367e+00,25,ok
cec2011,30,2,egsk,7500,-4.195652e+00,25,ok
cec2011,30,2,egsk,15000,-4.860125e+00,25,ok
cec2011,30,2,egsk,30000,-6.504422e+00,25,ok
cec2011,30,2,egsk,45000,-7.989505e+00,25,ok
cec2011,30,2,egsk,60000,-9.264807e+00,25,ok
cec2011,30,2,egsk,75000,-1.007394e+01,25,ok
cec2011,30,2,egsk,90000,-1.084568e+01,25,ok
cec2011,30,2,egsk,105000,-1.128614e+01,25,ok
cec2011,30,2,egsk,120000,-2.670998e+01,25,ok
cec2011,30,2,egsk,135000,-2.671073e+01,25,ok
cec2011,30,2,egsk,150000,-2.684467e+01,25,ok
cec2011,30,2,dt-gsk,1500,-2.875822e+00,25,ok
cec2011,30,2,dt-gsk,3000,-3.229176e+00,25,ok
cec2011,30,2,dt-gsk,4500,-3.444759e+00,25,ok
cec2011,30,2,dt-gsk,7500,-4.040463e+00,25,ok
cec2011,30,2,dt-gsk,15000,-4.606755e+00,25,ok
cec2011,30,2,dt-gsk,30000,-5.855213e+00,25,ok
cec2011,30,2,dt-gsk,45000,-6.716409e+00,25,ok
cec2011,30,2,dt-gsk,60000,-7.782131e+00,25,ok
cec2011,30,2,dt-gsk,75000,-8.676425e+00,25,ok
cec2011,30,2,dt-gsk,90000,-9.597663e+00,25,ok
cec2011,30,2,dt-gsk,105000,-1.045605e+01,25,ok
cec2011,30,2,dt-gsk,120000,-1.174812e+01,25,ok
cec2011,30,2,dt-gsk,135000,-1.819623e+01,25,ok
cec2011,30,2,dt-gsk,150000,-2.009706e+01,25,ok
cec2011,1,3,gsk,1500,1.151489e-05,25,ok
cec2011,1,3,gsk,3000,1.151489e-05,25,ok
cec2011,1,3,gsk,4500,1.151489e-05,25,ok
cec2011,1,3,gsk,7500,1.151489e-05,25,ok
cec2011,1,3,gsk,15000,1.151489e-05,25,ok
cec2011,1,3,gsk,30000,1.151489e-05,25,ok
cec2011,1,3,gsk,45000,1.151489e-05,25,ok
cec2011,1,3,gsk,60000,1.151489e-05,25,ok
cec2011,1,3,gsk,75000,1.151489e-05,25,ok
cec2011,1,3,gsk,90000,1.151489e-05,25,ok
cec2011,1,3,gsk,105000,1.151489e-05,25,ok
cec2011,1,3,gsk,120000,1.151489e-05,25,ok
cec2011,1,3,gsk,135000,1.151489e-05,25,ok
cec2011,1,3,gsk,150000,1.151489e-05,25,ok
cec2011,1,3,agsk,1500,1.151498e-05,25,ok
cec2011,1,3,agsk,3000,1.151489e-05,25,ok
cec2011,1,3,agsk,4500,1.151489e-05,25,ok
cec2011,1,3,agsk,7500,1.151489e-05,25,ok
cec2011,1,3,agsk,15000,1.151489e-05,25,ok
cec2011,1,3,agsk,30000,1.151489e-05,25,ok
cec2011,1,3,agsk,45000,1.151489e-05,25,ok
cec2011,1,3,agsk,60000,1.151489e-05,25,ok
cec2011,1,3,agsk,75000,1.151489e-05,25,ok
cec2011,1,3,agsk,90000,1.151489e-05,25,ok
cec2011,1,3,agsk,105000,1.151489e-05,25,ok
cec2011,1,3,agsk,120000,1.151489e-05,25,ok
cec2011,1,3,agsk,135000,1.151489e-05,25,ok
cec2011,1,3,agsk,150000,1.151489e-05,25,ok
cec2011,1,3,apgsk,1500,1.151507e-05,25,ok
cec2011,1,3,apgsk,3000,1.151490e-05,25,ok
cec2011,1,3,apgsk,4500,1.151489e-05,25,ok
cec2011,1,3,apgsk,7500,1.151489e-05,25,ok
cec2011,1,3,apgsk,15000,1.151489e-05,25,ok
cec2011,1,3,apgsk,30000,1.151489e-05,25,ok
cec2011,1,3,apgsk,45000,1.151489e-05,25,ok
cec2011,1,3,apgsk,60000,1.151489e-05,25,ok
cec2011,1,3,apgsk,75000,1.151489e-05,25,ok
cec2011,1,3,apgsk,90000,1.151489e-05,25,ok
cec2011,1,3,apgsk,105000,1.151489e-05,25,ok
cec2011,1,3,apgsk,120000,1.151489e-05,25,ok
