suite,dimension,n_blocks,algorithm,mean_rank,friedman_chi2,iman_davenport_F,p_value
cec2011,0,22,gsk,4.750000e+00,1.963149e+01,3.668834e+00,2.160258e-03
cec2011,0,22,agsk,4.750000e+00,1.963149e+01,3.668834e+00,2.160258e-03
cec2011,0,22,apgsk,3.886364e+00,1.963149e+01,3.668834e+00,2.160258e-03
cec2011,0,22,fdb-agsk,4.659091e+00,1.963149e+01,3.668834e+00,2.160258e-03
cec2011,0,22,atmals-gsk,4.068182e+00,1.963149e+01,3.668834e+00,2.160258e-03
cec2011,0,22,egsk,2.522727e+00,1.963149e+01,3.668834e+00,2.160258e-03
cec2011,0,22,dt-gsk,3.363636e+00,1.963149e+01,3.668834e+00,2.160258e-03
