suite,algorithm,mean_rank
cec2013,gsk,5.339286e+00
cec2013,agsk,4.267857e+00
cec2013,apgsk,4.428571e+00
cec2013,fdb-agsk,4.113095e+00
cec2013,atmals-gsk,3.642857e+00
cec2013,egsk,3.410714e+00
cec2013,dt-gsk,2.797619e+00
