suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2013,10,13,gsk,51,9.996155e-01,9.992311e-01,large,ok
cec2013,10,13,agsk,51,9.527105e-01,9.054210e-01,large,ok
cec2013,10,13,apgsk,51,9.788543e-01,9.577086e-01,large,ok
cec2013,10,13,fdb-agsk,51,8.981161e-01,7.962322e-01,large,ok
cec2013,10,13,atmals-gsk,51,9.584775e-01,9.169550e-01,large,ok
cec2013,10,13,egsk,51,7.462514e-01,4.925029e-01,large,ok
cec2013,10,14,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,14,agsk,51,4.382930e-01,-1.234141e-01,small,ok
cec2013,10,14,apgsk,51,6.113033e-01,2.226067e-01,small,ok
cec2013,10,14,fdb-agsk,51,5.736255e-01,1.472511e-01,small,ok
cec2013,10,14,atmals-gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,14,egsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,15,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,15,agsk,51,9.127259e-01,8.254517e-01,large,ok
cec2013,10,15,apgsk,51,8.281430e-01,6.562860e-01,large,ok
cec2013,10,15,fdb-agsk,51,9.277201e-01,8.554402e-01,large,ok
cec2013,10,15,atmals-gsk,51,9.207997e-01,8.415994e-01,large,ok
cec2013,10,15,egsk,51,9.742407e-01,9.484814e-01,large,ok
cec2013,10,16,gsk,51,9.803922e-01,9.607843e-01,large,ok
cec2013,10,16,agsk,51,9.477124e-01,8.954248e-01,large,ok
cec2013,10,16,apgsk,51,8.000769e-01,6.001538e-01,large,ok
cec2013,10,16,fdb-agsk,51,9.500192e-01,9.000384e-01,large,ok
cec2013,10,16,atmals-gsk,51,8.542868e-01,7.085736e-01,large,ok
cec2013,10,16,egsk,51,2.326028e-01,-5.347943e-01,large,ok
cec2013,10,17,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,17,agsk,51,5.194156e-01,3.883122e-02,negligible,ok
cec2013,10,17,apgsk,51,3.910035e-01,-2.179931e-01,small,ok
cec2013,10,17,fdb-agsk,51,2.103037e-01,-5.793925e-01,large,ok
cec2013,10,17,atmals-gsk,51,9.630911e-01,9.261822e-01,large,ok
cec2013,10,17,egsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,18,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,18,agsk,51,9.857747e-01,9.715494e-01,large,ok
cec2013,10,18,apgsk,51,9.907728e-01,9.815456e-01,large,ok
cec2013,10,18,fdb-agsk,51,9.976932e-01,9.953864e-01,large,ok
cec2013,10,18,atmals-gsk,51,9.892349e-01,9.784698e-01,large,ok
cec2013,10,18,egsk,51,6.785852e-01,3.571703e-01,medium,ok
cec2013,10,19,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,19,agsk,51,9.623222e-01,9.246444e-01,large,ok
cec2013,10,19,apgsk,51,7.693195e-01,5.386390e-01,large,ok
cec2013,10,19,fdb-agsk,51,9.154171e-01,8.308343e-01,large,ok
cec2013,10,19,atmals-gsk,51,9.515571e-01,9.031142e-01,large,ok
cec2013,10,19,egsk,51,9.757785e-01,9.515571e-01,large,ok
cec2013,10,20,gsk,51,8.454441e-01,6.908881e-01,large,ok
cec2013,10,20,agsk,51,7.520185e-01,5.040369e-01,large,ok
cec2013,10,20,apgsk,51,8.273741e-01,6.547482e-01,large,ok
cec2013,10,20,fdb-agsk,51,7.512495e-01,5.024990e-01,large,ok
cec2013,10,20,atmals-gsk,51,5.843906e-01,1.687812e-01,small,ok
cec2013,10,20,egsk,51,5.105729e-01,2.114571e-02,negligible,ok
cec2013,10,21,gsk,51,6.274510e-01,2.549020e-01,small,ok
cec2013,10,21,agsk,51,2.599000e-01,-4.801999e-01,large,ok
cec2013,10,21,apgsk,51,7.881584e-02,-8.423683e-01,large,ok
cec2013,10,21,fdb-agsk,51,1.682045e-01,-6.635909e-01,large,ok
cec2013,10,21,atmals-gsk,51,6.170704e-01,2.341407e-01,small,ok
cec2013,10,21,egsk,51,6.274510e-01,2.549020e-01,small,ok
cec2013,10,22,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,22,agsk,51,7.139562e-01,4.279123e-01,large,ok
cec2013,10,22,apgsk,51,9.242599e-01,8.485198e-01,large,ok
cec2013,10,22,fdb-agsk,51,6.960784e-01,3.921569e-01,medium,ok
cec2013,10,22,atmals-gsk,51,9.976932e-01,9.953864e-01,large,ok
cec2013,10,22,egsk,51,1.000000e+00,1.000000e+00,large,ok
cec2013,10,23,gsk,51,9.996155e-01,9.992311e-01,large,ok
cec2013,10,23,agsk,51,9.523260e-01,9.046521e-01,large,ok
cec2013,10,23,apgsk,51,9.711649e-01,9.423299e-01,large,ok
cec2013,10,23,fdb-agsk,51,9.573241e-01,9.146482e-01,large,ok
cec2013,10,23,atmals-gsk,51,8.535179e-01,7.070358e-01,large,ok
cec2013,10,23,egsk,51,9.588620e-01,9.177240e-01,large,ok
cec2013,10,24,gsk,51,5.374856e-01,7.497116e-02,negligible,ok
cec2013,10,24,agsk,51,5.882353e-01,1.764706e-01,small,ok
cec2013,10,24,apgsk,51,5.224913e-01,4.498270e-02,negligible,ok
cec2013,10,24,fdb-agsk,51,5.620915e-01,1.241830e-01,small,ok
cec2013,10,24,atmals-gsk,51,4.948097e-01,-1.038062e-02,negligible,ok
cec2013,10,24,egsk,51,5.955402e-01,1.910804e-01,small,ok
cec2013,10,25,gsk,51,5.957324e-01,1.914648e-01,small,ok
cec2013,10,25,agsk,51,6.489812e-01,2.979623e-01,medium,ok
cec2013,10,25,apgsk,51,5.951557e-01,1.903114e-01,small,ok
cec2013,10,25,fdb-agsk,51,8.116109e-01,6.232218e-01,large,ok
cec2013,10,25,atmals-gsk,51,5.609381e-01,1.218762e-01,small,ok
cec2013,10,25,egsk,51,4.538639e-01,-9.227220e-02,negligible,ok
cec2013,10,26,gsk,51,8.404460e-01,6.808920e-01,large,ok
cec2013,10,26,agsk,51,7.760477e-01,5.520953e-01,large,ok
cec2013,10,26,apgsk,51,7.900807e-01,5.801615e-01,large,ok
cec2013,10,26,fdb-agsk,51,7.923875e-01,5.847751e-01,large,ok
cec2013,10,26,atmals-gsk,51,8.665898e-01,7.331795e-01,large,ok
cec2013,10,26,egsk,51,7.547097e-01,5.094195e-01,large,ok
cec2013,10,27,gsk,51,2.660515e-01,-4.678970e-01,large,ok
cec2013,10,27,agsk,51,8.927336e-01,7.854671e-01,large,ok
cec2013,10,27,apgsk,51,9.156094e-01,8.312188e-01,large,ok
cec2013,10,27,fdb-agsk,51,9.186851e-01,8.373702e-01,large,ok
cec2013,10,27,atmals-gsk,51,2.516340e-01,-4.967320e-01,large,ok
cec2013,10,27,egsk,51,3.237216e-01,-3.525567e-01,medium,ok
cec2013,10,28,gsk,51,5.294118e-01,5.882353e-02,negligible,ok
cec2013,10,28,agsk,51,2.941176e-01,-4.117647e-01,medium,ok
cec2013,10,28,apgsk,51,1.464821e-01,-7.070358e-01,large,ok
cec2013,10,28,fdb-agsk,51,1.764706e-01,-6.470588e-01,large,ok
cec2013,10,28,atmals-gsk,51,4.607843e-01,-7.843137e-02,negligible,ok
cec2013,10,28,egsk,51,5.196078e-01,3.921569e-02,negligible,ok
