suite,dimension,n_blocks,k,algorithm,mean_rank,ordinal,friedman_chi2,iman_davenport_F,p_value,p_permutation,B_permutation,permutation_seed,tie_correction_C,n_tied_functions,friedman_chi2_uncorrected,iman_davenport_F_uncorrected,p_value_uncorrected,statistic_status,evidential_tier
cec2013lsgo,native,15,7,gsk,3.866667e+00,4,1.531429e+01,2.870696e+00,1.358268e-02,n/a,n/a,n/a,1.000000e+00,0,1.531429e+01,2.870696e+00,1.358268e-02,ok,"DESCRIPTIVE-AFTER-INSPECTION (addendum Section 6): the mean ranks, the omnibus and the W/T/L descriptives were inspected informally before the addendum was signed; they carry no confirmatory weight and never enter a headline"
cec2013lsgo,native,15,7,agsk,3.133333e+00,1,1.531429e+01,2.870696e+00,1.358268e-02,n/a,n/a,n/a,1.000000e+00,0,1.531429e+01,2.870696e+00,1.358268e-02,ok,"DESCRIPTIVE-AFTER-INSPECTION (addendum Section 6): the mean ranks, the omnibus and the W/T/L descriptives were inspected informally before the addendum was signed; they carry no confirmatory weight and never enter a headline"
cec2013lsgo,native,15,7,apgsk,4.933333e+00,6,1.531429e+01,2.870696e+00,1.358268e-02,n/a,n/a,n/a,1.000000e+00,0,1.531429e+01,2.870696e+00,1.358268e-02,ok,"DESCRIPTIVE-AFTER-INSPECTION (addendum Section 6): the mean ranks, the omnibus and the W/T/L descriptives were inspected informally before the addendum was signed; they carry no confirmatory weight and never enter a headline"
cec2013lsgo,native,15,7,fdb-agsk,3.933333e+00,5,1.531429e+01,2.870696e+00,1.358268e-02,n/a,n/a,n/a,1.000000e+00,0,1.531429e+01,2.870696e+00,1.358268e-02,ok,"DESCRIPTIVE-AFTER-INSPECTION (addendum Section 6): the mean ranks, the omnibus and the W/T/L descriptives were inspected informally before the addendum was signed; they carry no confirmatory weight and never enter a headline"
cec2013lsgo,native,15,7,atmals-gsk,3.533333e+00,3,1.531429e+01,2.870696e+00,1.358268e-02,n/a,n/a,n/a,1.000000e+00,0,1.531429e+01,2.870696e+00,1.358268e-02,ok,"DESCRIPTIVE-AFTER-INSPECTION (addendum Section 6): the mean ranks, the omnibus and the W/T/L descriptives were inspected informally before the addendum was signed; they carry no confirmatory weight and never enter a headline"
cec2013lsgo,native,15,7,egsk,5.466667e+00,7,1.531429e+01,2.870696e+00,1.358268e-02,n/a,n/a,n/a,1.000000e+00,0,1.531429e+01,2.870696e+00,1.358268e-02,ok,"DESCRIPTIVE-AFTER-INSPECTION (addendum Section 6): the mean ranks, the omnibus and the W/T/L descriptives were inspected informally before the addendum was signed; they carry no confirmatory weight and never enter a headline"
cec2013lsgo,native,15,7,dt-gsk,3.133333e+00,1,1.531429e+01,2.870696e+00,1.358268e-02,n/a,n/a,n/a,1.000000e+00,0,1.531429e+01,2.870696e+00,1.358268e-02,ok,"DESCRIPTIVE-AFTER-INSPECTION (addendum Section 6): the mean ranks, the omnibus and the W/T/L descriptives were inspected informally before the addendum was signed; they carry no confirmatory weight and never enter a headline"
