suite,dimension,function,algorithm,best,median,mean,worst,sd,n_runs
cec2013lsgo,1000,8,apgsk,1.552186e+13,5.330345e+13,6.042452e+13,1.231477e+14,3.119444e+13,25
cec2013lsgo,1000,8,fdb-agsk,1.111203e+13,3.789132e+13,4.700275e+13,1.338222e+14,2.896413e+13,25
cec2013lsgo,1000,8,atmals-gsk,1.990500e+13,4.006060e+13,5.414902e+13,2.462988e+14,4.605020e+13,25
cec2013lsgo,1000,8,egsk,2.287812e+13,8.405003e+13,9.658245e+13,3.302763e+14,6.281236e+13,25
cec2013lsgo,1000,8,dt-gsk,2.372337e+10,3.431056e+10,3.419753e+10,4.510258e+10,5.506012e+09,25
cec2013lsgo,1000,9,gsk,1.557536e+08,1.908515e+08,1.977812e+08,2.528913e+08,2.276626e+07,25
cec2013lsgo,1000,9,agsk,4.910148e+08,5.712513e+08,5.762368e+08,7.110654e+08,4.867575e+07,25
cec2013lsgo,1000,9,apgsk,6.799404e+08,7.839871e+08,7.918676e+08,9.178297e+08,6.188673e+07,25
cec2013lsgo,1000,9,fdb-agsk,3.845374e+08,5.064829e+08,5.274272e+08,6.683221e+08,8.321363e+07,25
cec2013lsgo,1000,9,atmals-gsk,2.352871e+08,3.445651e+08,3.481883e+08,5.016886e+08,6.680051e+07,25
cec2013lsgo,1000,9,egsk,1.373191e+08,2.341023e+08,2.374738e+08,3.243677e+08,3.926902e+07,25
cec2013lsgo,1000,9,dt-gsk,2.361245e+08,2.689904e+08,2.681030e+08,3.049907e+08,1.680237e+07,25
cec2013lsgo,1000,10,gsk,9.335096e+07,9.404500e+07,9.401169e+07,9.442646e+07,2.842636e+05,25
cec2013lsgo,1000,10,agsk,9.273829e+07,9.339937e+07,9.338222e+07,9.407348e+07,3.417787e+05,25
cec2013lsgo,1000,10,apgsk,9.210748e+07,9.281624e+07,9.280559e+07,9.337708e+07,3.080557e+05,25
cec2013lsgo,1000,10,fdb-agsk,9.147471e+07,9.344448e+07,9.336880e+07,9.385702e+07,5.071455e+05,25
cec2013lsgo,1000,10,atmals-gsk,9.294418e+07,9.357880e+07,9.352620e+07,9.403086e+07,3.088016e+05,25
cec2013lsgo,1000,10,egsk,9.323807e+07,9.394703e+07,9.392061e+07,9.424783e+07,2.623580e+05,25
cec2013lsgo,1000,10,dt-gsk,9.155048e+07,9.306803e+07,9.289299e+07,9.365998e+07,5.361008e+05,25
cec2013lsgo,1000,11,gsk,2.724637e+08,4.245177e+08,4.508488e+08,7.671486e+08,1.466203e+08,25
cec2013lsgo,1000,11,agsk,1.855790e+08,2.627927e+08,2.730150e+08,5.438023e+08,8.122903e+07,25
cec2013lsgo,1000,11,apgsk,8.126129e+08,1.821869e+09,3.301772e+09,1.973727e+10,3.861604e+09,25
cec2013lsgo,1000,11,fdb-agsk,3.000491e+08,6.101300e+08,6.005391e+08,1.186816e+09,2.153860e+08,25
cec2013lsgo,1000,11,atmals-gsk,6.135963e+08,3.800596e+09,1.058594e+10,3.951419e+10,1.227246e+10,25
cec2013lsgo,1000,11,egsk,2.462506e+10,6.266841e+10,7.286574e+10,1.515863e+11,3.641776e+10,25
cec2013lsgo,1000,11,dt-gsk,3.142293e+08,4.364061e+08,4.513967e+08,6.929083e+08,8.960388e+07,25
cec2013lsgo,1000,12,gsk,2.898756e+08,1.702381e+09,2.216884e+09,7.984563e+09,1.918457e+09,25
cec2013lsgo,1000,12,agsk,1.681589e+07,8.099693e+07,1.162943e+08,3.913592e+08,1.123526e+08,25
cec2013lsgo,1000,12,apgsk,2.607558e+09,7.221846e+09,7.156443e+09,1.284553e+10,2.705344e+09,25
cec2013lsgo,1000,12,fdb-agsk,3.784724e+08,9.350400e+08,1.111539e+09,4.424139e+09,7.640606e+08,25
cec2013lsgo,1000,12,atmals-gsk,5.206024e+03,6.347655e+03,7.318556e+03,1.430088e+04,2.448304e+03,25
cec2013lsgo,1000,12,egsk,6.042541e+09,1.064601e+10,1.239300e+10,2.358078e+10,5.120315e+09,25
cec2013lsgo,1000,12,dt-gsk,2.215298e+05,3.298352e+05,3.336009e+05,5.054865e+05,7.258430e+04,25
cec2013lsgo,905,13,gsk,1.322661e+09,1.988088e+09,2.058499e+09,3.371394e+09,6.043409e+08,25
cec2013lsgo,905,13,agsk,1.748865e+08,3.723731e+08,3.798693e+08,8.797559e+08,1.741137e+08,25
cec2013lsgo,905,13,apgsk,1.392773e+09,1.971707e+09,2.019410e+09,3.127923e+09,4.163892e+08,25
cec2013lsgo,905,13,fdb-agsk,4.239835e+08,9.244964e+08,9.898505e+08,1.883853e+09,3.954907e+08,25
cec2013lsgo,905,13,atmals-gsk,1.351076e+09,2.522959e+09,2.704307e+09,5.525318e+09,1.133854e+09,25
cec2013lsgo,905,13,egsk,4.261793e+09,5.435099e+09,5.586996e+09,7.635458e+09,9.082598e+08,25
cec2013lsgo,905,13,dt-gsk,1.675351e+09,2.464404e+09,2.488434e+09,4.262647e+09,5.892608e+08,25
cec2013lsgo,905,14,gsk,2.300682e+09,9.400218e+09,1.031892e+10,2.974052e+10,7.030622e+09,25
cec2013lsgo,905,14,agsk,1.065901e+08,3.127942e+08,3.475272e+08,7.968013e+08,1.770355e+08,25
cec2013lsgo,905,14,apgsk,9.996397e+09,2.142402e+10,2.334184e+10,4.349259e+10,8.343679e+09,25
cec2013lsgo,905,14,fdb-agsk,7.715223e+08,1.736910e+09,1.994527e+09,5.917770e+09,1.109449e+09,25
cec2013lsgo,905,14,atmals-gsk,2.833546e+10,5.933433e+10,6.026611e+10,1.779541e+11,3.083361e+10,25
cec2013lsgo,905,14,egsk,4.606115e+10,9.578091e+10,1.003111e+11,1.407500e+11,2.612345e+10,25
cec2013lsgo,905,14,dt-gsk,2.457165e+08,5.186154e+08,6.843813e+08,1.617688e+09,4.262548e+08,25
cec2013lsgo,1000,15,gsk,3.540658e+06,4.193403e+06,4.618282e+06,9.259279e+06,1.168007e+06,25
cec2013lsgo,1000,15,agsk,4.282138e+06,5.599584e+06,5.823720e+06,8.042017e+06,9.460713e+05,25
cec2013lsgo,1000,15,apgsk,6.873358e+06,1.156072e+07,1.221310e+07,2.121589e+07,3.462702e+06,25
cec2013lsgo,1000,15,fdb-agsk,9.794316e+06,1.228615e+07,1.276103e+07,2.170989e+07,2.343154e+06,25
cec2013lsgo,1000,15,atmals-gsk,1.750327e+06,2.145643e+06,2.241936e+06,3.260990e+06,3.763475e+05,25
cec2013lsgo,1000,15,egsk,5.283900e+06,6.694527e+06,6.911091e+06,8.998842e+06,9.909923e+05,25
cec2013lsgo,1000,15,dt-gsk,8.191858e+06,1.865249e+07,1.845121e+07,2.507120e+07,3.787941e+06,25
