suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2013lsgo,1000,11,atmals-gsk,25,9.968000e-01,9.936000e-01,large,ok
cec2013lsgo,1000,11,egsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,12,gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,12,agsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,12,apgsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,12,fdb-agsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,12,atmals-gsk,25,0.000000e+00,-1.000000e+00,large,ok
cec2013lsgo,1000,12,egsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,905,13,gsk,25,2.848000e-01,-4.304000e-01,large,ok
cec2013lsgo,905,13,agsk,25,0.000000e+00,-1.000000e+00,large,ok
cec2013lsgo,905,13,apgsk,25,2.496000e-01,-5.008000e-01,large,ok
cec2013lsgo,905,13,fdb-agsk,25,8.000000e-03,-9.840000e-01,large,ok
cec2013lsgo,905,13,atmals-gsk,25,4.944000e-01,-1.120000e-02,negligible,ok
cec2013lsgo,905,13,egsk,25,9.984000e-01,9.968000e-01,large,ok
cec2013lsgo,905,14,gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,905,14,agsk,25,2.256000e-01,-5.488000e-01,large,ok
cec2013lsgo,905,14,apgsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,905,14,fdb-agsk,25,9.296000e-01,8.592000e-01,large,ok
cec2013lsgo,905,14,atmals-gsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,905,14,egsk,25,1.000000e+00,1.000000e+00,large,ok
cec2013lsgo,1000,15,gsk,25,1.600000e-03,-9.968000e-01,large,ok
cec2013lsgo,1000,15,agsk,25,0.000000e+00,-1.000000e+00,large,ok
cec2013lsgo,1000,15,apgsk,25,1.296000e-01,-7.408000e-01,large,ok
cec2013lsgo,1000,15,fdb-agsk,25,1.088000e-01,-7.824000e-01,large,ok
cec2013lsgo,1000,15,atmals-gsk,25,0.000000e+00,-1.000000e+00,large,ok
cec2013lsgo,1000,15,egsk,25,6.400000e-03,-9.872000e-01,large,ok
