suite,dimension,function,comparator,n_runs,a12,cliffs_delta,magnitude,availability
cec2017,30,14,gsk,51,9.523260e-01,9.046521e-01,large,ok
cec2017,30,14,agsk,51,8.569781e-01,7.139562e-01,large,ok
cec2017,30,14,apgsk,51,8.523645e-01,7.047290e-01,large,ok
cec2017,30,14,fdb-agsk,51,8.212226e-01,6.424452e-01,large,ok
cec2017,30,14,atmals-gsk,51,8.146867e-01,6.293733e-01,large,ok
cec2017,30,14,egsk,51,9.150327e-02,-8.169935e-01,large,ok
cec2017,30,15,gsk,51,7.846982e-01,5.693964e-01,large,ok
cec2017,30,15,agsk,51,9.665513e-01,9.331027e-01,large,ok
cec2017,30,15,apgsk,51,9.538639e-01,9.077278e-01,large,ok
cec2017,30,15,fdb-agsk,51,9.619377e-01,9.238754e-01,large,ok
cec2017,30,15,atmals-gsk,51,9.480969e-01,8.961938e-01,large,ok
cec2017,30,15,egsk,51,5.036524e-01,7.304883e-03,negligible,ok
cec2017,30,16,gsk,51,9.323337e-01,8.646674e-01,large,ok
cec2017,30,16,agsk,51,9.092657e-01,8.185313e-01,large,ok
cec2017,30,16,apgsk,51,7.797001e-01,5.594002e-01,large,ok
cec2017,30,16,fdb-agsk,51,8.531334e-01,7.062668e-01,large,ok
cec2017,30,16,atmals-gsk,51,7.454825e-01,4.909650e-01,large,ok
cec2017,30,16,egsk,51,5.547866e-01,1.095732e-01,negligible,ok
cec2017,30,17,gsk,51,9.461745e-01,8.923491e-01,large,ok
cec2017,30,17,agsk,51,9.373318e-01,8.746636e-01,large,ok
cec2017,30,17,apgsk,51,9.630911e-01,9.261822e-01,large,ok
cec2017,30,17,fdb-agsk,51,9.600154e-01,9.200308e-01,large,ok
cec2017,30,17,atmals-gsk,51,9.123414e-01,8.246828e-01,large,ok
cec2017,30,17,egsk,51,5.517109e-01,1.034218e-01,negligible,ok
cec2017,30,18,gsk,51,8.688966e-01,7.377932e-01,large,ok
cec2017,30,18,agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,18,apgsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,18,fdb-agsk,51,9.980777e-01,9.961553e-01,large,ok
cec2017,30,18,atmals-gsk,51,8.319877e-01,6.639754e-01,large,ok
cec2017,30,18,egsk,51,4.240677e-01,-1.518647e-01,small,ok
cec2017,30,19,gsk,51,9.565552e-01,9.131103e-01,large,ok
cec2017,30,19,agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,19,apgsk,51,9.988466e-01,9.976932e-01,large,ok
cec2017,30,19,fdb-agsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,19,atmals-gsk,51,9.900038e-01,9.800077e-01,large,ok
cec2017,30,19,egsk,51,6.974241e-01,3.948481e-01,medium,ok
cec2017,30,20,gsk,51,7.097270e-01,4.194541e-01,medium,ok
cec2017,30,20,agsk,51,9.557862e-01,9.115725e-01,large,ok
cec2017,30,20,apgsk,51,9.657824e-01,9.315648e-01,large,ok
cec2017,30,20,fdb-agsk,51,9.177240e-01,8.354479e-01,large,ok
cec2017,30,20,atmals-gsk,51,8.692810e-01,7.385621e-01,large,ok
cec2017,30,20,egsk,51,6.574394e-01,3.148789e-01,medium,ok
cec2017,30,21,gsk,51,1.000000e+00,1.000000e+00,large,ok
cec2017,30,21,agsk,51,8.796617e-01,7.593233e-01,large,ok
