suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2017,50,6,egsk,9.906412e-07,9.188417e-06,5.760164e-04,2.885693e-02,4.039330e-03,cec2017/egsk/egsk_cec2017_D50.csv
cec2017,50,6,dt-gsk,2.735216e-05,8.737863e-05,8.345223e-05,1.560876e-04,3.448424e-05,cec2017/dt-gsk/dt-gsk_cec2017_D50.csv
cec2017,50,7,gsk,3.452814e+02,3.731337e+02,3.717997e+02,3.944515e+02,1.209176e+01,cec2017/gsk/gsk_cec2017_D50.csv
cec2017,50,7,agsk,2.412749e+02,2.910785e+02,2.938237e+02,3.506085e+02,2.173954e+01,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,7,apgsk,2.682264e+02,3.502975e+02,3.489129e+02,4.148345e+02,3.661435e+01,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,7,fdb-agsk,2.088050e+02,2.623671e+02,2.565341e+02,2.968967e+02,2.187842e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,7,atmals-gsk,1.216947e+02,1.732913e+02,1.753224e+02,2.247172e+02,2.524909e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
cec2017,50,7,egsk,7.529107e+01,8.778425e+01,8.899596e+01,1.191031e+02,9.434546e+00,cec2017/egsk/egsk_cec2017_D50.csv
cec2017,50,7,dt-gsk,6.936824e+01,8.255686e+01,9.194427e+01,2.200060e+02,3.109222e+01,cec2017/dt-gsk/dt-gsk_cec2017_D50.csv
cec2017,50,8,gsk,2.960588e+02,3.257433e+02,3.232852e+02,3.504113e+02,1.261459e+01,cec2017/gsk/gsk_cec2017_D50.csv
cec2017,50,8,agsk,1.772186e+02,2.452020e+02,2.464257e+02,2.937924e+02,2.313000e+01,cec2017/agsk/agsk_cec2017_D50.csv
cec2017,50,8,apgsk,2.376865e+02,2.851665e+02,2.798332e+02,3.312756e+02,2.161602e+01,cec2017/apgsk/apgsk_cec2017_D50.csv
cec2017,50,8,fdb-agsk,1.592312e+02,2.036477e+02,2.031217e+02,2.512162e+02,2.107341e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv
cec2017,50,8,atmals-gsk,1.154982e+02,1.812911e+02,1.878787e+02,3.107062e+02,4.318633e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv
cec2017,50,8,egsk,1.989918e+01,3.979834e+01,4.143709e+01,6.467229e+01,1.076914e+01,cec2017/egsk/egsk_cec2017_D50.csv
cec2017,50,8,dt-gsk,2.489174e+01,3.883998e+01,4.372545e+01,1.442974e+02,2.275850e+01,cec2017/dt-gsk/dt-gsk_cec2017_D50.csv
cec2017,50,9,gsk,0.000000e+00,0.000000e+00,1.593014e-02,4.543240e-01,6.716090e-02,cec2017/gsk/gsk_cec2017_D50.csv
