Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,3.3309915080E-01,1.3322807189E+03,8.9873043921E+02,1.7123614446E+03,6.8335162900E+02
3,1.6482124714E+01,3.6639208173E+01,3.2673768076E+01,4.5404211793E+01,1.0488253233E+01
4,7.7990111366E-01,2.9893888988E+00,2.8611024414E+00,3.4632096390E+00,6.1955285158E-01
5,3.1223509167E-01,3.4532298088E+00,1.2832867453E+01,1.2470007757E+02,3.0121311461E+01
6,4.9792604024E-01,1.0559724357E+00,3.4322847788E+00,1.7260539112E+01,4.8545142425E+00
7,3.5732191608E-02,7.4637278857E-01,5.7217024653E+00,1.2025344478E+02,2.1862435446E+01
8,1.0000000000E+02,1.0000000000E+02,1.0004537179E+02,1.0083597381E+02,1.7742487664E-01
9,3.0000000000E+02,3.9046256072E+02,3.8749937637E+02,3.9402077984E+02,1.6668619476E+01
10,4.0000000000E+02,4.0000000000E+02,4.0000000000E+02,4.0000000000E+02,1.9000004199E-13
