Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,1036244153,1.357697616496948e+17,13143628576859.88,2631940659626.021,2975588672.602676,1150727354.239479,1051400584.130191,962642005.6850032,962642005.6850032,962642005.6850032,962642005.6850032,962642005.6850032,962642005.6850032,962642005.6850032,962642005.6850032
2,1037244190,5.296474716341892e+17,27420954888208.95,3646797406329.847,1513515136.875759,993814338.573511,852831873.7322037,852831873.7322037,852831873.7322037,852831873.7322037,852831873.7322037,852831873.7322037,852831873.7322037,852831873.7322037,824252393.4146612
3,1038244227,5.813581961023722e+17,21125570551555.57,10973833717114.16,2246847959.637351,1101004064.692883,869021674.6612496,869021674.6612496,869021674.6612496,869021674.6612496,808667576.4912739,808667576.4912739,808667576.4912739,808667576.4912739,808667576.4912739
4,1039244264,2.811788392465569e+17,11125770764462.23,3779243113653.312,1754653479.84758,1220285880.893158,1220285880.893158,1220285880.893158,1220285880.893158,1220285880.893158,1220285880.893158,1220285880.893158,1129934805.593832,1129934805.593832,1088360065.181334
5,1040244301,1.684984788364763e+17,67250598979142.51,6107567970827.559,1482641223.513358,1428772571.472446,972932932.7731814,972932932.7731814,972932932.7731814,972932932.7731814,972932932.7731814,972932932.7731814,836168957.6144423,836168957.6144423,836168957.6144423
6,1041244338,5.936839793517075e+17,19814460501269.77,12592092382806.56,2093220974.654173,1481724238.259066,1386448487.453721,889962580.5677767,889962580.5677767,889962580.5677767,889962580.5677767,889962580.5677767,889962580.5677767,801380876.2381686,801380876.2381686
7,1042244375,2.234764252671091e+17,39053340952498.52,7199106485060.51,2393450308.953905,1309324991.588113,986038819.0498364,947172332.3576504,815052977.0849903,756685632.8038571,756685632.8038571,756685632.8038571,756685632.8038571,756685632.8038571,756685632.8038571
8,1043244412,1.009770311461254e+18,32347638630531.75,4751397998824.891,2115458682.882373,1415957356.017931,981778849.5505093,951648415.6436474,951648415.6436474,839892131.0325823,839892131.0325823,839892131.0325823,839892131.0325823,839892131.0325823,839892131.0325823
9,1044244449,2.32847191110278e+17,14992579847750.19,8343133723907.429,2532797131.920021,1837370617.876008,1535096738.799881,1178654937.963208,1178654937.963208,1051229131.872427,1051229131.872427,1045585347.149658,1045585347.149658,1045585347.149658,1045585347.149658
10,1045244486,3.09319249242401e+17,39657090401972.54,10485608667174.24,1611165542.925306,581181513.0060264,581181513.0060264,581181513.0060264,581181513.0060264,581181513.0060264,581181513.0060264,581181513.0060264,581181513.0060264,581181513.0060264,581181513.0060264
11,1046244523,1.373552066573773e+17,13782784532557.96,5123922385909.341,1485099678.343418,1124433815.51782,1124433815.51782,1124433815.51782,1124433815.51782,955578627.7610886,764916520.2553149,764916520.2553149,764916520.2553149,764916520.2553149,764916520.2553149
12,1047244560,5.506215717834724e+17,20953895963541.75,11632288672627.58,1284077010.420535,1284077010.420535,1284077010.420535,809375812.2866185,809375812.2866185,809375812.2866185,809375812.2866185,809375812.2866185,809375812.2866185,809375812.2866185,809375812.2866185
13,1048244597,3.1067991190114e+17,35826824075669.14,7757454681729.926,1112791280.14739,1112791280.14739,1112791280.14739,1112791280.14739,1112791280.14739,1112791280.14739,1009745665.958778,1009745665.958778,1009745665.958778,1009745665.958778,1009745665.958778
14,1049244634,2.299376582344934e+17,19677862279522.56,6855120104500.008,1797584816.642573,901932201.5492907,901932201.5492907,901932201.5492907,901932201.5492907,901932201.5492907,901932201.5492907,901932201.5492907,901932201.5492907,901932201.5492907,897317313.2120683
15,1050244671,8.816898504999139e+16,10430936608584.22,4104869275429.351,2236508836.357166,1214391861.044194,1214391861.044194,908054562.5821165,908054562.5821165,908054562.5821165,908054562.5821165,908054562.5821165,908054562.5821165,634791164.1910686,634791164.1910686
16,1051244708,4.096983995280303e+17,8237548529644.709,2494316895233.415,2432606627.906847,1292173186.521263,640955918.0017151,640955918.0017151,640955918.0017151,640955918.0017151,640955918.0017151,640955918.0017151,640955918.0017151,640955918.0017151,640955918.0017151
17,1052244745,5.57684004714548e+17,12190790697853.04,2281246477919.771,1114855238.014677,1114855238.014677,1013662892.696915,785339450.4455634,785339450.4455634,785339450.4455634,785339450.4455634,785339450.4455634,785339450.4455634,785339450.4455634,785339450.4455634
18,1053244782,3.263655632184435e+17,15303774869592.77,9448372438548.689,2113662671.516258,604427181.4266694,604427181.4266694,604427181.4266694,604427181.4266694,604427181.4266694,604427181.4266694,604427181.4266694,604427181.4266694,604427181.4266694,604427181.4266694
19,1054244819,5.009944560765674e+17,14034619466520.19,3306277152696.683,2207957276.155423,1347525416.849578,1050444326.973233,721916672.9565856,721916672.9565856,721916672.9565856,721916672.9565856,721916672.9565856,721916672.9565856,721916672.9565856,721916672.9565856
20,1055244856,4.53224350882893e+17,32981639358359.86,9564859236330.125,6616343647.354271,2034494356.735406,1214994435.288304,1196794511.831198,847836968.1470814,847836968.1470814,847836968.1470814,847836968.1470814,847836968.1470814,847836968.1470814,847836968.1470814
21,1056244893,8.165664607068755e+17,24285500599856.49,6276434955787.717,2423009482.12425,1421361115.640306,1304266444.922195,1304266444.922195,945288428.6039758,945288428.6039758,775070524.6562152,775070524.6562152,775070524.6562152,775070524.6562152,775070524.6562152
22,1057244930,2.619780218456174e+17,26134007528012.35,6123776820137.21,2266284111.083063,1198426946.336017,1198426946.336017,1053001822.785315,1053001822.785315,1053001822.785315,793092380.1705983,793092380.1705983,793092380.1705983,793092380.1705983,793092380.1705983
23,1058244967,8.154597619556814e+17,23186289398593.54,3691741743548.539,1708564613.966307,1686339394.383819,937928060.7715012,937928060.7715012,937928060.7715012,937928060.7715012,937928060.7715012,937928060.7715012,937928060.7715012,937928060.7715012,937928060.7715012
24,1059245004,1.419969228149639e+17,34061543033353.75,12726120469694.93,1578522027.191901,1281154869.610288,1225746597.767258,1083005208.203849,1083005208.203849,1083005208.203849,1083005208.203849,1083005208.203849,1083005208.203849,1083005208.203849,1083005208.203849
25,1060245041,2.754143985953597e+17,11602268555997.19,1474225811931.156,1536878746.091804,1536878746.091804,1462317057.246714,1439263093.471745,995303087.5535613,995303087.5535613,916235791.7926868,916235791.7926868,916235791.7926868,916235791.7926868,916235791.7926868
