Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,3.7274368913E+00,2.8389274482E+01,4.0552415214E+01,1.3489536454E+02,3.8229888847E+01
3,1.9899181142E+00,1.1633347931E+01,1.0030003960E+01,1.4123584615E+01,3.8296229241E+00
4,2.7253072520E-04,8.8447530480E-02,1.0785796829E-01,2.8267948854E-01,7.1570123024E-02
5,0.0000000000E+00,4.1628596929E-01,2.9681308245E-01,1.2031020417E+00,2.4262849302E-01
6,8.0115015417E-03,4.1485964287E-02,1.0737532408E-01,3.6485876582E-01,1.1180788043E-01
7,3.3396300000E-07,4.1740395430E-04,8.5829910821E-04,4.0156361570E-03,1.0089331649E-03
8,0.0000000000E+00,4.6445547819E+01,5.7933331878E+01,1.0029016484E+02,3.9024086440E+01
9,0.0000000000E+00,1.0000000000E+02,9.0000000000E+01,1.0000000000E+02,3.0512857663E+01
10,1.0000011711E+02,3.9774286947E+02,3.3819434902E+02,3.9774286947E+02,1.2113303524E+02
