Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,6.2456915683E-02,1.8140665698E+00,1.9007420653E+00,7.9858784898E+00,2.0129759094E+00
3,2.0387215350E+01,2.0387215350E+01,2.0415194196E+01,2.0715439859E+01,7.8185498588E-02
4,6.6173845742E-02,2.1711492659E-01,2.3307800324E-01,4.3989555966E-01,9.2444858407E-02
5,1.0990442938E+00,1.2228123676E+02,8.1748425124E+01,1.7786086248E+02,6.5992331738E+01
6,8.5734203749E-02,1.5987071532E-01,1.6907333692E-01,2.9790751757E-01,4.9131228891E-02
7,6.8112322919E-02,4.8118826132E-01,2.4465836121E+00,2.9757348220E+01,5.7820605253E+00
8,5.9056706716E+01,1.0000000000E+02,9.8635223557E+01,1.0000000000E+02,7.4751884368E+00
9,1.0000000000E+02,4.0748655474E+02,3.0920629229E+02,4.3121296331E+02,1.5063995136E+02
10,3.9900795352E+02,3.9907863426E+02,4.0336401746E+02,4.1370946944E+02,5.7448199174E+00
