Run,Seed,E500,E1000,E1500,E2500,E5000,E10000,E15000,E20000,E25000,E30000,E35000,E40000,E45000,E50000
1,29240772,39.4627325918785,39.4627325918785,19.3093610521571,19.3093610521571,12.5381365084141,12.5381365084141,11.2216327048827,9.8275639493302,7.2940526483229,6.5808571286017,6.2836731631071,6.2836731631071,6.1921906292876,6.0802697962824
2,30240809,36.5502787502036,36.5502787502036,22.1318767758997,19.4539465015097,12.2369881810279,10.5827317229395,9.8461566228136,9.124472965274199,9.124472965274199,9.124472965274199,8.986275431142101,7.940394939542,7.832119877029,7.3930200868188
3,31240846,51.3689233892634,36.8543826029096,24.1704806452292,24.1704806452292,14.2856003080199,11.6026469495165,9.155204644755401,7.7128252087231,7.7128252087231,6.3597488831956,6.3462763939547,5.7886702493087,5.7886702493087,5.5646675765425
4,32240883,74.95755689378529,34.8606336850763,27.8583421085249,23.9704260654981,9.5693429224283,9.5406804031992,7.8933503355963,7.0798391650876,6.6042487220196,6.168436294356,5.9534860047047,5.9534860047047,5.7202762130044,5.3793642732757
5,33240920,42.5972391422,23.3228155170169,23.3228155170169,20.3898967923152,11.4552851333672,9.845523481388801,8.926802288146201,8.926802288146201,8.7714326556753,6.9734921267445,6.7434853103041,6.7434853103041,6.4711221024597,6.3141849480511
6,34240957,64.4343400875601,31.8166896052243,31.8166896052243,28.9804722339527,17.7614495765331,10.6636935324103,10.6636935324103,10.6410022786076,10.6410022786076,10.6398672670416,8.2745514727239,7.092585804367,7.092585804367,6.2278708619567
7,35240994,31.6823587018417,18.3462861819553,18.3462861819553,18.3462861819553,15.7896960815405,4.1729722071916,4.1729722071916,3.3751368870821,3.3751368870821,3.3751368870821,2.9741152921329,2.946600246813,2.5838284243167,2.055541509685
8,36241031,48.820401477104,41.9471409295434,34.13495565471,18.9711395950206,18.9711395950206,6.9878093409819,6.9878093409819,6.9878093409819,6.9878093409819,6.6330078477512,5.7954213128693,5.7954213128693,5.7954213128693,5.4823985666447
9,37241068,49.2089646876753,34.8306710864351,27.4968582785476,13.2235634201812,13.2235634201812,10.7113587592221,10.7113587592221,10.7113587592221,10.7113587592221,9.908428738253599,9.4929074465696,9.385554878835499,8.933044062707401,8.690966314006999
10,38241105,38.8418603612657,38.1010876362891,26.3287870156119,22.2460590257211,13.772907015705,11.96565087802,10.4957596488871,10.4957596488871,9.6107822615927,8.9053471381019,7.8221695241509,7.2961063476258,6.7077407657287,6.2863010339764
