Run,Seed,E100000,E200000,E300000,E500000,E1000000,E2000000,E3000000,E4000000,E5000000,E6000000,E7000000,E8000000,E9000000,E10000000
1,45240850,4.5106419704287,3.3592740402828,3.1748021410635,2.4118708737071,1.4240694648106,1.1280608642166,1.0026709351407,0.7664110226897,0.6032733388347,0.4583101431483,0.4322047035248,0.1862456105277,0.1384707475904,0.126414580505
2,46240887,3.4317609659108,2.8909254114672,2.3690071383849,2.0518049918023,1.3452433733196,1.0074872505954,0.6164594282811,0.6128739052951,0.5934886033733,0.5858467451686999,0.5281039363983,0.516342421875,0.402295278265,0.3558383710913
3,47240924,4.3001246876604,2.7167347936895,2.1157314176821,1.583071469728,1.258728275303,0.6885109594695999,0.6584596856874,0.6559269497843,0.6354150867533001,0.6319098441054,0.6068831578525,0.586961933811,0.4278734570753,0.427488864807
4,48240961,2.9233491028933,2.7470145141604,2.429817091759,2.0460043125345,1.6163162792238,0.977571606119,0.9567184452553,0.9100427559108,0.8441136116949,0.6836836703183,0.535049404171,0.51283003689,0.4806237880887,0.480459394337
5,49240998,5.017961681465,2.9558646619912,2.7060783174388,2.2181850912536,1.5036576500556,1.053232796898,1.0331512119596,0.7863181179637,0.7566748596014,0.7063175238495,0.624781644036,0.47262215429,0.4643730489358,0.4581097810776
6,50241035,4.6128318051083,3.237595604808,2.1750137879108,2.0212143338795,1.3490990293592,0.8786894453033,0.7458415023114,0.5831243118914,0.5602442637812,0.3367309644805,0.1854543660297,0.1787231868898,0.1634935700881,0.1630468994058
7,51241072,4.3890073501725,2.7600671271728,2.5426680677992,2.0292283461204,1.5181756426707,0.9989287942656,0.8230715100794,0.7978003948215,0.7924512544162,0.6844313263096,0.5067413090257999,0.4460112089814,0.4394633430747,0.424982892098
8,52241109,4.1856576316638,3.1382666254135,2.9389127011816,1.9671520349268,1.7304337169414,1.0884524177986,1.0104205770663,0.944071780453,0.9038710227533,0.4848651146795,0.4540353345117,0.3957106491125,0.38085734995,0.3808554549664
9,53241146,3.8245477175333,2.8066368046905,2.4156272325256,1.88724827194,1.6571171189808,1.0562690580398,0.9042259274493,0.8690932851805,0.7377272859894,0.4455141400372,0.3603666829613,0.2086018896737,0.1821563491762,0.181995591036
10,54241183,4.459564802349,3.2723129460035,2.8503622345884,1.5442759803086,1.1713559462125,0.7094161511775,0.6932504718611,0.5695036093605,0.5364035708644,0.4538819141958,0.406590960887,0.3949042958811,0.3945017786955,0.3944777018626
11,55241220,4.6969912909333,2.9280227299216,2.404042314184,1.940065363204,1.5156995652692,0.7025713954079,0.6031111914688,0.562872336047,0.456670560878,0.2874079141968,0.200019191706,0.1995095335326,0.1979917197423,0.1976357245333
12,56241257,3.9652057239712,3.4448246135898,2.7548820825436,2.308788014004,1.652361911067,1.2303134642395,1.0135949029302,0.8472043594916,0.7108931071155,0.5471549487477,0.5298094284271,0.491949548237,0.4611057739448,0.329075189354
13,57241294,4.769697420099,2.4048364005653,2.269995584495,2.0668287196772,1.7563626774067,1.2018854789515,0.9553186893568,0.8995345830615,0.891894098082,0.680845305021,0.4806905704988,0.4279285285168,0.3663704241521,0.3556950085951
14,58241331,4.8552959091169,3.617297206674,2.508336509452,2.166744236189,1.190519805928,0.7781267135201,0.6509425920235,0.6471170854381,0.5986497430006,0.597071794694,0.4385735431267,0.3974066551345,0.39704227125,0.3912757120302
15,59241368,5.315282916386,3.1716939651822,2.7746288591184,2.1898121967301,1.5095225837688,1.1985913004235,0.9132802210556,0.7897709138356001,0.6934655735245,0.570934904349,0.554947529648,0.4548117227732,0.4540986264533,0.4540955858026
16,60241405,4.3772413568659,2.8994822386278,2.4737839417617,1.7229225988312,1.3215990017468,0.904525210345,0.6901555800655,0.6717408665652,0.669932223872,0.5039533737963,0.2857829646434,0.2342106496117,0.221434511065,0.2025971318087
17,61241442,4.2978306719956,2.5169552345542,2.4838085212598,2.256566239842,1.615761138468,1.0521139776038,0.9382998933754,0.647419354826,0.633534439415,0.3602880613741,0.3600965407845,0.3597389212846,0.3594089389946,0.3594089389946
18,62241479,4.6106788848372,3.2760077748985,2.701205252072,1.9644952738224,1.573940171379,1.0425101379524,0.9734611700949,0.8564629794066,0.792732275044,0.7140699780325001,0.564506425064,0.50430897139,0.4946195988452,0.4929706295452
19,63241516,5.2377809877569,3.1395854153952,2.189868093977,1.768700752288,1.0055702518227,0.868011727341,0.8602852826966,0.8206680676028,0.7683745721628999,0.638243781736,0.5260147757522,0.4541163793438,0.4490379509245,0.4443235755941
20,64241553,4.4605619983467,3.4617111020304,3.088613793668,2.3319375926944,1.7449097616293,1.102631255737,1.078026208619,1.067469023759,1.0543925238715,0.3581320189555,0.323402815409,0.3007993636081,0.2971329985282,0.2971329985282
21,65241590,4.1926818034153,2.8627352612305,2.3441228789766,1.8099890913177,1.5297283008704,1.1152988212232,0.7360373600652,0.7080651115537,0.7065172925347,0.5243592156446,0.4605893519572,0.4132569697638,0.402866047528,0.4015364789814
