suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2011,30,5,dt-gsk,-3.405854e+01,-3.355281e+01,-3.276276e+01,-3.119788e+01,1.196469e+00,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,30,6,gsk,-1.347855e+01,-6.245657e+00,-6.804371e+00,-1.549395e+00,2.449410e+00,cec2011/gsk/gsk_cec2011.csv
cec2011,30,6,agsk,-2.882092e+01,-2.295168e+01,-2.370722e+01,-6.183332e-01,5.348171e+00,cec2011/agsk/agsk_cec2011.csv
cec2011,30,6,apgsk,-2.913356e+01,-2.736525e+01,-2.758836e+01,-2.298364e+01,1.248821e+00,cec2011/apgsk/apgsk_cec2011.csv
cec2011,30,6,fdb-agsk,-2.902479e+01,-2.787281e+01,-2.605121e+01,0.000000e+00,5.807374e+00,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,30,6,atmals-gsk,-2.742900e+01,-1.657134e+01,-1.616212e+01,-7.998050e+00,4.370052e+00,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,30,6,egsk,-1.591607e+01,0.000000e+00,-2.447192e+00,0.000000e+00,5.202321e+00,cec2011/egsk/egsk_cec2011.csv
cec2011,30,6,dt-gsk,-2.731965e+01,-2.292185e+01,-2.187652e+01,0.000000e+00,5.130304e+00,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,20,7,gsk,1.529728e+00,1.806775e+00,1.798565e+00,1.968888e+00,1.096546e-01,cec2011/gsk/gsk_cec2011.csv
cec2011,20,7,agsk,9.355749e-01,1.169988e+00,1.154043e+00,1.288572e+00,7.967214e-02,cec2011/agsk/agsk_cec2011.csv
cec2011,20,7,apgsk,8.306328e-01,1.081149e+00,1.077031e+00,1.190617e+00,8.384278e-02,cec2011/apgsk/apgsk_cec2011.csv
cec2011,20,7,fdb-agsk,9.752690e-01,1.124137e+00,1.124586e+00,1.258256e+00,8.514497e-02,cec2011/fdb-agsk/fdb-agsk_cec2011.csv
cec2011,20,7,atmals-gsk,1.077215e+00,1.320062e+00,1.338868e+00,1.591222e+00,1.734007e-01,cec2011/atmals-gsk/atmals-gsk_cec2011.csv
cec2011,20,7,egsk,5.982795e-01,9.868267e-01,9.788353e-01,1.540533e+00,1.914231e-01,cec2011/egsk/egsk_cec2011.csv
cec2011,20,7,dt-gsk,6.479837e-01,1.029828e+00,1.045290e+00,1.478682e+00,2.124071e-01,cec2011/dt-gsk/dt-gsk_cec2011.csv
cec2011,7,8,gsk,2.200000e+02,2.200000e+02,2.200000e+02,2.200000e+02,0.000000e+00,cec2011/gsk/gsk_cec2011.csv
