cell,mean_rank,delta_rank_vs_full,best_count,n_funcs,wilcoxon_p,holm_p,significant
baseline,3.2241,0.0000,7,29,,,
no_linkage,3.2414,+0.0172,8,29,1,1,no
no_localsearch,3.5000,+0.2759,3,29,0.04381,0.219,no
no_arch,3.6034,+0.3793,3,29,0.3104,0.6779,no
no_bse,4.0862,+0.8621,2,29,0.07143,0.2857,no
no_psr,4.2759,+1.0517,5,29,0.226,0.6779,no
no_ace,6.0690,+2.8448,1,29,0.000184,0.001104,yes
