suite,dimension,n_blocks,algorithm,mean_rank,friedman_chi2,iman_davenport_F,p_value
cec2017,50,29,gsk,4.758621e+00,5.113300e+01,1.165263e+01,6.763147e-11
cec2017,50,29,agsk,4.793103e+00,5.113300e+01,1.165263e+01,6.763147e-11
cec2017,50,29,apgsk,5.344828e+00,5.113300e+01,1.165263e+01,6.763147e-11
cec2017,50,29,fdb-agsk,3.965517e+00,5.113300e+01,1.165263e+01,6.763147e-11
cec2017,50,29,atmals-gsk,4.310345e+00,5.113300e+01,1.165263e+01,6.763147e-11
cec2017,50,29,egsk,2.620690e+00,5.113300e+01,1.165263e+01,6.763147e-11
cec2017,50,29,dt-gsk,2.206897e+00,5.113300e+01,1.165263e+01,6.763147e-11
