suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2017,10,6,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,6,dt-gsk,0.000000e+00,0.000000e+00,1.602242e-07,1.421119e-06,4.281895e-07,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,7,gsk,2.168026e+01,3.018381e+01,2.964154e+01,3.655507e+01,3.428446e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,7,agsk,1.265691e+01,1.884838e+01,1.889560e+01,2.462757e+01,2.627046e+00,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,7,apgsk,1.230999e+01,2.011048e+01,2.015280e+01,2.973379e+01,3.703550e+00,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,7,fdb-agsk,1.250214e+01,1.855472e+01,1.827124e+01,2.605665e+01,2.777745e+00,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,7,atmals-gsk,1.357752e+01,1.925664e+01,2.029318e+01,3.745425e+01,3.989868e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,7,egsk,1.132286e+01,1.389610e+01,1.420668e+01,1.808706e+01,1.576667e+00,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,7,dt-gsk,1.065845e+01,1.171898e+01,1.183402e+01,1.357563e+01,7.635599e-01,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,8,gsk,1.166492e+01,2.074928e+01,2.122260e+01,2.989307e+01,3.503749e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,8,agsk,3.058657e+00,7.997599e+00,7.874594e+00,1.201066e+01,2.118881e+00,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,8,apgsk,2.117790e+00,8.954626e+00,8.921637e+00,1.774769e+01,3.103569e+00,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,8,fdb-agsk,1.240301e+00,7.436530e+00,7.306150e+00,1.430363e+01,2.498115e+00,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,8,atmals-gsk,3.000754e+00,1.196109e+01,1.289620e+01,2.388097e+01,5.056467e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,8,egsk,0.000000e+00,3.979836e+00,4.330998e+00,7.959672e+00,1.947920e+00,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,8,dt-gsk,0.000000e+00,1.989918e+00,2.396509e+00,5.969754e+00,1.153064e+00,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,9,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,9,agsk,0.000000e+00,0.000000e+00,1.755456e-03,8.952825e-02,1.253646e-02,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,9,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,9,fdb-agsk,0.000000e+00,0.000000e+00,1.755456e-03,8.952825e-02,1.253646e-02,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,9,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,9,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,9,dt-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,10,gsk,7.127250e+02,1.040889e+03,1.030900e+03,1.302589e+03,1.260729e+02,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,10,agsk,1.715545e+02,3.244613e+02,3.243260e+02,5.178607e+02,7.496003e+01,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,10,apgsk,1.269569e+02,3.604912e+02,3.436736e+02,5.962964e+02,9.559397e+01,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,10,fdb-agsk,9.985818e+01,3.088275e+02,3.056972e+02,5.395476e+02,9.996606e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,10,atmals-gsk,3.871820e+00,5.483194e+02,5.118821e+02,1.122490e+03,2.669229e+02,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,10,egsk,2.207420e+02,6.259821e+02,6.221610e+02,1.163565e+03,2.010919e+02,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,10,dt-gsk,3.727233e+00,1.299326e+02,1.302777e+02,3.926799e+02,1.018129e+02,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,11,gsk,0.000000e+00,0.000000e+00,6.086551e-09,1.672390e-07,2.517603e-08,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,11,agsk,0.000000e+00,0.000000e+00,1.835219e-01,1.427083e+00,3.797676e-01,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,11,apgsk,0.000000e+00,9.949603e-01,1.326006e+00,5.092911e+00,1.284317e+00,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,11,fdb-agsk,0.000000e+00,1.823241e-01,8.575185e-01,5.500421e+00,1.250288e+00,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,11,atmals-gsk,4.405802e-01,2.418269e+00,2.487423e+00,4.484165e+00,8.075009e-01,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,11,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,11,dt-gsk,0.000000e+00,0.000000e+00,3.901800e-02,9.949591e-01,1.950510e-01,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,12,gsk,9.134461e-01,5.831633e+01,9.610299e+01,2.496170e+02,7.898038e+01,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,12,agsk,5.319856e-02,7.979859e+00,3.587118e+01,2.000497e+02,5.474413e+01,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,12,apgsk,6.094228e-02,1.201601e+02,8.465743e+01,2.481017e+02,8.072401e+01,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,12,fdb-agsk,6.446194e-01,3.817795e+01,6.354300e+01,1.769900e+02,5.008304e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,12,atmals-gsk,2.081980e-01,1.346501e+02,1.306437e+02,3.566145e+02,9.621718e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,12,egsk,1.378694e-05,1.158926e+01,7.356472e+01,2.530881e+02,8.020049e+01,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,12,dt-gsk,2.400411e-03,1.296113e+02,1.117063e+02,3.968024e+02,9.951427e+01,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,13,gsk,1.331511e+00,6.767233e+00,6.610933e+00,9.203507e+00,1.274094e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,13,agsk,4.259190e-07,3.177330e+00,2.966380e+00,6.501490e+00,2.208155e+00,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,13,apgsk,7.877373e-06,4.199086e+00,3.668398e+00,9.618445e+00,2.575563e+00,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,13,fdb-agsk,8.104792e-06,3.963675e+00,3.955674e+00,1.044187e+01,2.533512e+00,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,13,atmals-gsk,5.254050e-01,5.766285e+00,5.259744e+00,1.106441e+01,2.289283e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,13,egsk,9.955419e-01,4.837343e+00,4.859612e+00,5.394360e+00,5.785889e-01,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,13,dt-gsk,0.000000e+00,3.113819e+00,2.723173e+00,8.140955e+00,2.651984e+00,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,14,gsk,2.103380e-04,5.754113e+00,5.281924e+00,1.233208e+01,3.264805e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,14,agsk,0.000000e+00,0.000000e+00,6.555730e-02,9.949591e-01,2.372237e-01,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,14,apgsk,0.000000e+00,8.004759e-01,6.328716e-01,2.984877e+00,6.713095e-01,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,14,fdb-agsk,0.000000e+00,0.000000e+00,8.790557e-02,1.053728e+00,2.559608e-01,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,14,atmals-gsk,1.415877e+00,4.732382e+00,6.169143e+00,2.236395e+01,5.065152e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,14,egsk,2.414640e-08,9.837326e-04,1.847501e-01,1.795435e+00,4.061495e-01,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,14,dt-gsk,0.000000e+00,0.000000e+00,3.903842e-02,9.949591e-01,1.950469e-01,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,15,gsk,2.568579e-03,1.171621e-01,2.251445e-01,5.000000e-01,2.174490e-01,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,15,agsk,4.131838e-04,1.560194e-02,2.521895e-02,1.229744e-01,2.731068e-02,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,15,apgsk,2.937734e-04,4.618452e-02,1.400230e-01,1.075269e+00,2.038686e-01,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,15,fdb-agsk,1.978595e-04,4.071156e-02,4.873382e-02,3.022977e-01,5.497224e-02,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,15,atmals-gsk,4.533160e-02,3.638085e-01,4.667936e-01,1.284506e+00,3.049985e-01,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,15,egsk,8.168504e-05,2.210051e-01,2.669840e-01,5.000000e-01,2.166799e-01,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,15,dt-gsk,1.408316e-05,1.211946e-02,1.101674e-01,1.061985e+00,2.317348e-01,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,16,gsk,1.198954e-01,9.571776e-01,3.658399e+00,1.170865e+01,4.748958e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,16,agsk,2.616678e-02,5.582601e-01,7.510120e-01,3.437024e+00,6.399799e-01,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,16,apgsk,2.039521e-02,6.576557e-01,6.872570e-01,2.019725e+00,3.974217e-01,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,16,fdb-agsk,4.028048e-01,1.019447e+00,1.311514e+00,4.235709e+00,8.534882e-01,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,16,atmals-gsk,2.966449e-01,1.393122e+00,3.544019e+00,1.663276e+01,4.380163e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,16,egsk,1.076363e-01,9.243413e-01,4.944759e+00,1.217252e+01,5.420326e+00,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,16,dt-gsk,2.423714e-02,4.182115e-01,4.046210e-01,1.463110e+00,2.360772e-01,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,17,gsk,6.147998e-01,9.758712e+00,9.866033e+00,2.548645e+01,6.677231e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,17,agsk,3.730587e-02,9.824798e-01,1.048268e+00,4.511319e+00,7.216371e-01,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,17,apgsk,2.960212e-01,1.321561e+00,1.418096e+00,3.913864e+00,8.397420e-01,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,17,fdb-agsk,2.787468e-01,1.217721e+00,1.278693e+00,2.942285e+00,6.154978e-01,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,17,atmals-gsk,1.581802e+00,2.312151e+01,2.083410e+01,4.215056e+01,1.056662e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,17,egsk,1.220271e-01,5.057525e+00,7.622273e+00,2.194428e+01,7.341758e+00,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,17,dt-gsk,0.000000e+00,3.319026e-01,3.250553e-01,1.307132e+00,2.896247e-01,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,18,gsk,9.055321e-03,3.744733e-01,6.787635e-01,1.921368e+01,2.653755e+00,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,18,agsk,5.224736e-04,2.650565e-02,1.000016e-01,4.991109e-01,1.439084e-01,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,18,apgsk,8.103781e-06,3.494469e-01,5.277552e-01,2.919700e+00,5.878598e-01,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,18,fdb-agsk,1.225456e-02,4.666957e-02,7.072718e-02,4.407798e-01,7.455704e-02,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,18,atmals-gsk,4.467103e-02,5.233348e-01,3.415672e+00,2.052282e+01,6.421126e+00,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
cec2017,10,18,egsk,2.255864e-04,4.692551e-01,7.168848e-01,2.027842e+01,2.801414e+00,cec2017/egsk/egsk_cec2017_D10.csv
cec2017,10,18,dt-gsk,2.442846e-05,3.215010e-01,4.027698e-01,3.999757e+00,6.350999e-01,cec2017/dt-gsk/dt-gsk_cec2017_D10.csv
cec2017,10,19,gsk,4.840204e-03,5.492974e-02,8.797254e-02,3.877573e-01,8.641705e-02,cec2017/gsk/gsk_cec2017_D10.csv
cec2017,10,19,agsk,0.000000e+00,5.052040e-02,6.568584e-02,2.209130e-01,5.340537e-02,cec2017/agsk/agsk_cec2017_D10.csv
cec2017,10,19,apgsk,6.992677e-03,6.132622e-02,8.153683e-02,2.843802e-01,6.372010e-02,cec2017/apgsk/apgsk_cec2017_D10.csv
cec2017,10,19,fdb-agsk,2.943967e-02,8.330452e-02,9.161478e-02,2.454060e-01,4.841024e-02,cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv
cec2017,10,19,atmals-gsk,4.742732e-02,3.210708e-01,4.598628e-01,1.778992e+00,3.916511e-01,cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv
