suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_bh,outcome,availability
cec2017,100,11,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,11,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.580776e-09,win,ok
cec2017,100,11,egsk,per_function_runlevel,51,2.190000e+02,3.224569e-05,4.921710e-05,loss,ok
cec2017,100,12,gsk,per_function_runlevel,51,1.520000e+02,1.710728e-06,2.918300e-06,loss,ok
cec2017,100,12,agsk,per_function_runlevel,51,4.000000e+01,5.396753e-09,7.825293e-09,win,ok
cec2017,100,12,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,12,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,12,atmals-gsk,per_function_runlevel,51,6.500000e+02,9.067266e-01,9.699423e-01,tie,ok
cec2017,100,12,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,win,ok
cec2017,100,13,gsk,per_function_runlevel,51,5.630000e+02,3.509955e-01,3.874857e-01,tie,ok
cec2017,100,13,agsk,per_function_runlevel,51,5.090000e+02,1.501996e-01,1.675303e-01,tie,ok
cec2017,100,13,apgsk,per_function_runlevel,51,3.030000e+02,7.524406e-04,8.728310e-04,win,ok
cec2017,100,13,fdb-agsk,per_function_runlevel,51,5.090000e+02,1.501996e-01,1.742315e-01,tie,ok
cec2017,100,13,atmals-gsk,per_function_runlevel,51,6.630000e+02,1.000000e+00,1.000000e+00,tie,ok
cec2017,100,13,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,loss,ok
cec2017,100,14,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.365348e-09,win,ok
cec2017,100,14,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,14,apgsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,8.124482e-10,win,ok
cec2017,100,14,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.102322e-10,win,ok
cec2017,100,14,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.580776e-09,win,ok
cec2017,100,14,egsk,per_function_runlevel,51,5.690000e+02,3.808021e-01,4.247408e-01,tie,ok
cec2017,100,15,gsk,per_function_runlevel,51,2.960000e+02,5.918311e-04,8.581551e-04,win,ok
cec2017,100,15,agsk,per_function_runlevel,51,2.480000e+02,1.022425e-04,1.347743e-04,win,ok
cec2017,100,15,apgsk,per_function_runlevel,51,7.100000e+01,2.957083e-08,3.897973e-08,win,ok
cec2017,100,15,fdb-agsk,per_function_runlevel,51,1.130000e+02,2.599617e-07,3.769445e-07,win,ok
cec2017,100,15,atmals-gsk,per_function_runlevel,51,1.250000e+02,4.706071e-07,8.529754e-07,win,ok
cec2017,100,15,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,loss,ok
cec2017,100,16,gsk,per_function_runlevel,51,6.240000e+02,7.181904e-01,7.181904e-01,tie,ok
cec2017,100,16,agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,9.080304e-10,win,ok
cec2017,100,16,apgsk,per_function_runlevel,51,1.040000e+02,1.652371e-07,1.996614e-07,win,ok
cec2017,100,16,fdb-agsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,9.102322e-10,win,ok
cec2017,100,16,atmals-gsk,per_function_runlevel,51,3.540000e+02,3.831592e-03,4.831138e-03,win,ok
cec2017,100,16,egsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,loss,ok
cec2017,100,17,gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.365348e-09,win,ok
cec2017,100,17,agsk,per_function_runlevel,51,3.000000e+00,6.363059e-10,9.712037e-10,win,ok
cec2017,100,17,apgsk,per_function_runlevel,51,7.600000e+01,3.860777e-08,4.867936e-08,win,ok
cec2017,100,17,fdb-agsk,per_function_runlevel,51,3.200000e+01,3.433194e-09,5.240138e-09,win,ok
