suite,dimension,function,algorithm,checkpoint_nfes,mean_error,n_runs,availability
cec2017,50,1,dt-gsk,150000,1.991221e+03,51,ok
cec2017,50,1,dt-gsk,200000,1.972473e+03,51,ok
cec2017,50,1,dt-gsk,250000,9.091362e+01,51,ok
cec2017,50,1,dt-gsk,300000,1.360872e+00,51,ok
cec2017,50,1,dt-gsk,350000,2.964249e-01,51,ok
cec2017,50,1,dt-gsk,400000,1.871105e-01,51,ok
cec2017,50,1,dt-gsk,450000,1.768193e-01,51,ok
cec2017,50,1,dt-gsk,500000,1.757114e-01,51,ok
cec2017,50,3,gsk,5000,2.816537e+05,51,ok
cec2017,50,3,gsk,10000,2.562160e+05,51,ok
cec2017,50,3,gsk,15000,2.507356e+05,51,ok
cec2017,50,3,gsk,25000,2.414836e+05,51,ok
cec2017,50,3,gsk,50000,2.234651e+05,51,ok
cec2017,50,3,gsk,100000,1.740677e+05,51,ok
cec2017,50,3,gsk,150000,1.228303e+05,51,ok
cec2017,50,3,gsk,200000,8.108789e+04,51,ok
cec2017,50,3,gsk,250000,5.558706e+04,51,ok
cec2017,50,3,gsk,300000,3.809568e+04,51,ok
cec2017,50,3,gsk,350000,2.395015e+04,51,ok
cec2017,50,3,gsk,400000,1.438904e+04,51,ok
cec2017,50,3,gsk,450000,8.213191e+03,51,ok
cec2017,50,3,gsk,500000,4.020190e+03,51,ok
cec2017,50,3,agsk,5000,2.624309e+05,51,ok
cec2017,50,3,agsk,10000,2.418151e+05,51,ok
cec2017,50,3,agsk,15000,2.371545e+05,51,ok
cec2017,50,3,agsk,25000,2.328755e+05,51,ok
cec2017,50,3,agsk,50000,2.278355e+05,51,ok
cec2017,50,3,agsk,100000,2.065948e+05,51,ok
cec2017,50,3,agsk,150000,1.707513e+05,51,ok
cec2017,50,3,agsk,200000,1.430640e+05,51,ok
cec2017,50,3,agsk,250000,1.113146e+05,51,ok
cec2017,50,3,agsk,300000,8.712921e+04,51,ok
cec2017,50,3,agsk,350000,5.869456e+04,51,ok
cec2017,50,3,agsk,400000,3.361658e+04,51,ok
cec2017,50,3,agsk,450000,1.432743e+04,51,ok
cec2017,50,3,agsk,500000,4.520986e+03,51,ok
cec2017,50,3,apgsk,5000,2.600088e+05,51,ok
cec2017,50,3,apgsk,10000,2.428217e+05,51,ok
cec2017,50,3,apgsk,15000,2.378168e+05,51,ok
cec2017,50,3,apgsk,25000,2.349271e+05,51,ok
cec2017,50,3,apgsk,50000,2.326901e+05,51,ok
cec2017,50,3,apgsk,100000,1.621463e+05,51,ok
cec2017,50,3,apgsk,150000,1.393287e+05,51,ok
cec2017,50,3,apgsk,200000,1.262175e+05,51,ok
cec2017,50,3,apgsk,250000,1.150637e+05,51,ok
cec2017,50,3,apgsk,300000,9.180641e+04,51,ok
cec2017,50,3,apgsk,350000,5.902189e+04,51,ok
cec2017,50,3,apgsk,400000,3.306779e+04,51,ok
cec2017,50,3,apgsk,450000,1.362784e+04,51,ok
cec2017,50,3,apgsk,500000,3.835785e+03,51,ok
cec2017,50,3,fdb-agsk,5000,2.686931e+05,51,ok
cec2017,50,3,fdb-agsk,10000,2.443089e+05,51,ok
cec2017,50,3,fdb-agsk,15000,2.380718e+05,51,ok
cec2017,50,3,fdb-agsk,25000,2.329171e+05,51,ok
