suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2017,10,9,agsk,51,-1.755456e-03,-1.228510e-02,0.000000e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,9,apgsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,9,fdb-agsk,51,-1.755456e-03,-1.228506e-02,0.000000e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,9,atmals-gsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,9,egsk,51,0.000000e+00,n/a,n/a,n/a,n/a,no CI (degenerate cell)
cec2017,10,10,gsk,51,-9.006224e+02,-9.419309e+02,-8.567426e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,10,agsk,51,-1.940484e+02,-2.255958e+02,-1.576499e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,10,apgsk,51,-2.133959e+02,-2.494972e+02,-1.737037e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,10,fdb-agsk,51,-1.754196e+02,-2.106427e+02,-1.387014e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,10,atmals-gsk,51,-3.816045e+02,-4.634150e+02,-2.977123e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,10,egsk,51,-4.918834e+02,-5.554010e+02,-4.296539e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,11,gsk,51,3.901800e-02,-6.491673e-09,1.170540e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,11,agsk,51,-1.445039e-01,-2.732907e-01,-6.159095e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,11,apgsk,51,-1.286988e+00,-1.675837e+00,-9.573758e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,11,fdb-agsk,51,-8.185005e-01,-1.222043e+00,-5.259202e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,11,atmals-gsk,51,-2.448405e+00,-2.661514e+00,-2.228736e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,11,egsk,51,3.901800e-02,0.000000e+00,1.170540e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,12,gsk,51,1.560326e+01,-1.527165e+01,5.052653e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,12,agsk,51,7.583508e+01,5.004977e+01,1.036300e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,12,apgsk,51,2.704882e+01,-6.969786e+00,6.401061e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,12,fdb-agsk,51,4.816326e+01,1.959454e+01,7.928098e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,12,atmals-gsk,51,-1.893743e+01,-5.723775e+01,2.009058e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,12,egsk,51,3.814154e+01,3.588603e+00,7.571569e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,13,gsk,51,-3.887761e+00,-4.615830e+00,-3.182881e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,13,agsk,51,-2.432074e-01,-1.181360e+00,6.917416e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,13,apgsk,51,-9.452254e-01,-2.046100e+00,1.854273e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,13,fdb-agsk,51,-1.232501e+00,-2.203270e+00,-3.343357e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,13,atmals-gsk,51,-2.536571e+00,-3.508720e+00,-1.620512e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,13,egsk,51,-2.136439e+00,-2.850387e+00,-1.363109e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,14,gsk,51,-5.242886e+00,-6.154087e+00,-4.375293e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,14,agsk,51,-2.651889e-02,-1.195296e-01,5.546458e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,14,apgsk,51,-5.938332e-01,-8.031158e-01,-4.087840e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,14,fdb-agsk,51,-4.886715e-02,-1.285075e-01,1.579187e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,14,atmals-gsk,51,-6.130104e+00,-7.784561e+00,-4.967879e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,14,egsk,51,-1.457116e-01,-2.839325e-01,-6.102574e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,15,gsk,51,-1.149770e-01,-1.965879e-01,-2.384913e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,15,agsk,51,8.494848e-02,3.608561e-02,1.700570e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,15,apgsk,51,-2.985555e-02,-9.225713e-02,5.050545e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,15,fdb-agsk,51,6.143361e-02,1.102176e-02,1.488375e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,15,atmals-gsk,51,-3.566261e-01,-4.657024e-01,-2.412804e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,15,egsk,51,-1.568165e-01,-2.317466e-01,-6.094961e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,16,gsk,51,-3.253778e+00,-4.706594e+00,-2.103462e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,16,agsk,51,-3.463910e-01,-5.699015e-01,-1.974652e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,16,apgsk,51,-2.826360e-01,-4.134355e-01,-1.633708e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,16,fdb-agsk,51,-9.068931e-01,-1.193569e+00,-6.978162e-01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,16,atmals-gsk,51,-3.139398e+00,-4.535526e+00,-2.117253e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,16,egsk,51,-4.540138e+00,-6.052320e+00,-3.146834e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,10,17,gsk,51,-9.540978e+00,-1.151890e+01,-7.791605e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
