suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2013,10,1,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/gsk/gsk_cec2013_D10.csv
cec2013,10,1,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/agsk/agsk_cec2013_D10.csv
cec2013,10,1,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/apgsk/apgsk_cec2013_D10.csv
cec2013,10,1,fdb-agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/fdb-agsk/fdb-agsk_cec2013_D10.csv
cec2013,10,1,atmals-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/atmals-gsk/atmals-gsk_cec2013_D10.csv
cec2013,10,1,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/egsk/egsk_cec2013_D10.csv
cec2013,10,1,dt-gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/dt-gsk/dt-gsk_cec2013_D10.csv
cec2013,10,2,gsk,6.757521e-03,2.274599e-02,2.761775e-02,9.382805e-02,1.636522e-02,cec2013/gsk/gsk_cec2013_D10.csv
cec2013,10,2,agsk,7.156282e-05,4.562845e-02,8.011138e-01,1.204550e+01,2.249603e+00,cec2013/agsk/agsk_cec2013_D10.csv
cec2013,10,2,apgsk,6.589345e+00,2.375836e+02,7.619478e+02,1.520740e+04,2.243019e+03,cec2013/apgsk/apgsk_cec2013_D10.csv
cec2013,10,2,fdb-agsk,6.632813e-05,7.915399e-01,3.057042e+01,1.147633e+03,1.610823e+02,cec2013/fdb-agsk/fdb-agsk_cec2013_D10.csv
cec2013,10,2,atmals-gsk,0.000000e+00,1.149062e-07,5.688158e-06,1.560532e-04,2.332093e-05,cec2013/atmals-gsk/atmals-gsk_cec2013_D10.csv
cec2013,10,2,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/egsk/egsk_cec2013_D10.csv
cec2013,10,2,dt-gsk,0.000000e+00,1.372662e-07,1.392327e-03,4.658804e-02,6.657634e-03,cec2013/dt-gsk/dt-gsk_cec2013_D10.csv
cec2013,10,3,gsk,4.731965e-05,3.376707e-03,3.433285e-02,3.086019e-01,5.568068e-02,cec2013/gsk/gsk_cec2013_D10.csv
cec2013,10,3,agsk,7.420251e-05,7.036039e+00,1.341632e+03,1.767200e+04,3.538484e+03,cec2013/agsk/agsk_cec2013_D10.csv
cec2013,10,3,apgsk,8.525759e-04,1.762786e+01,2.452317e+04,8.427003e+05,1.190348e+05,cec2013/apgsk/apgsk_cec2013_D10.csv
cec2013,10,3,fdb-agsk,1.437501e-01,4.976020e+04,7.727290e+04,3.999934e+05,9.940278e+04,cec2013/fdb-agsk/fdb-agsk_cec2013_D10.csv
cec2013,10,3,atmals-gsk,0.000000e+00,2.354445e-05,2.163811e-02,3.541282e-01,6.511121e-02,cec2013/atmals-gsk/atmals-gsk_cec2013_D10.csv
cec2013,10,3,egsk,1.654100e-07,8.606464e-07,5.598247e-03,7.135683e-02,1.937464e-02,cec2013/egsk/egsk_cec2013_D10.csv
cec2013,10,3,dt-gsk,0.000000e+00,1.418824e-01,6.669830e-01,6.317988e+00,1.530308e+00,cec2013/dt-gsk/dt-gsk_cec2013_D10.csv
cec2013,10,4,gsk,2.042331e-04,6.537229e-04,7.332504e-04,2.810461e-03,4.475455e-04,cec2013/gsk/gsk_cec2013_D10.csv
cec2013,10,4,agsk,3.875932e-07,1.626665e-03,6.401737e-03,4.592790e-02,1.031812e-02,cec2013/agsk/agsk_cec2013_D10.csv
cec2013,10,4,apgsk,1.046885e-01,5.081596e+00,1.073726e+01,7.200271e+01,1.381226e+01,cec2013/apgsk/apgsk_cec2013_D10.csv
cec2013,10,4,fdb-agsk,1.749907e-06,2.293398e-04,1.002820e-02,1.296684e-01,2.624527e-02,cec2013/fdb-agsk/fdb-agsk_cec2013_D10.csv
cec2013,10,4,atmals-gsk,0.000000e+00,0.000000e+00,1.046069e-07,2.418682e-06,4.004534e-07,cec2013/atmals-gsk/atmals-gsk_cec2013_D10.csv
cec2013,10,4,egsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/egsk/egsk_cec2013_D10.csv
cec2013,10,4,dt-gsk,0.000000e+00,0.000000e+00,1.790027e-09,6.206600e-08,9.108621e-09,cec2013/dt-gsk/dt-gsk_cec2013_D10.csv
cec2013,10,5,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/gsk/gsk_cec2013_D10.csv
cec2013,10,5,agsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/agsk/agsk_cec2013_D10.csv
cec2013,10,5,apgsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2013/apgsk/apgsk_cec2013_D10.csv
