suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_holm,outcome,availability,rank_biserial,w_plus,w_minus,n_zero,direction
cec2013,30,0,gsk,across_functions_funclevel,28,6.500000e+01,5.209751e-03,3.125850e-02,win,ok,6.296296e-01,6.500000e+01,2.860000e+02,2,favors_dt-gsk
cec2013,30,0,agsk,across_functions_funclevel,28,9.500000e+01,4.216990e-02,2.108495e-01,tie,ok,4.586895e-01,9.500000e+01,2.560000e+02,2,favors_dt-gsk
cec2013,30,0,apgsk,across_functions_funclevel,28,1.110000e+02,1.040623e-01,3.121870e-01,tie,ok,3.675214e-01,1.110000e+02,2.400000e+02,2,favors_dt-gsk
cec2013,30,0,fdb-agsk,across_functions_funclevel,28,9.500000e+01,4.216990e-02,2.108495e-01,tie,ok,4.586895e-01,9.500000e+01,2.560000e+02,2,favors_dt-gsk
cec2013,30,0,atmals-gsk,across_functions_funclevel,28,1.400000e+02,3.740411e-01,7.480821e-01,tie,ok,-2.022792e-01,2.110000e+02,1.400000e+02,2,favors_comparator
cec2013,30,0,egsk,across_functions_funclevel,28,1.550000e+02,4.209134e-01,7.480821e-01,tie,ok,-1.798942e-01,2.230000e+02,1.550000e+02,1,favors_comparator
