suite,dimension,function,algorithm,best,median,mean,worst,sd,source_path
cec2017,30,6,egsk,0.000000e+00,1.676701e-06,4.767868e-06,5.520720e-05,9.138450e-06,cec2017/egsk/egsk_cec2017_D30.csv
cec2017,30,6,dt-gsk,0.000000e+00,3.302391e-06,4.895485e-06,4.001185e-05,6.472282e-06,cec2017/dt-gsk/dt-gsk_cec2017_D30.csv
cec2017,30,7,gsk,1.478229e+02,1.891491e+02,1.869531e+02,2.037402e+02,1.132546e+01,cec2017/gsk/gsk_cec2017_D30.csv
cec2017,30,7,agsk,9.340493e+01,1.246584e+02,1.241094e+02,1.394913e+02,8.841676e+00,cec2017/agsk/agsk_cec2017_D30.csv
cec2017,30,7,apgsk,1.028144e+02,1.475832e+02,1.475641e+02,2.026750e+02,2.271233e+01,cec2017/apgsk/apgsk_cec2017_D30.csv
cec2017,30,7,fdb-agsk,7.521332e+01,1.048213e+02,1.042025e+02,1.289318e+02,1.200555e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D30.csv
cec2017,30,7,atmals-gsk,6.264164e+01,8.404409e+01,8.660768e+01,1.248866e+02,1.507099e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D30.csv
cec2017,30,7,egsk,3.712575e+01,5.097502e+01,5.178693e+01,6.503890e+01,6.653638e+00,cec2017/egsk/egsk_cec2017_D30.csv
cec2017,30,7,dt-gsk,5.372293e+01,6.391667e+01,6.936381e+01,1.436321e+02,1.923646e+01,cec2017/dt-gsk/dt-gsk_cec2017_D30.csv
cec2017,30,8,gsk,1.217024e+02,1.626235e+02,1.592095e+02,1.722457e+02,1.075543e+01,cec2017/gsk/gsk_cec2017_D30.csv
cec2017,30,8,agsk,7.273021e+01,9.981527e+01,9.659713e+01,1.179759e+02,1.192123e+01,cec2017/agsk/agsk_cec2017_D30.csv
cec2017,30,8,apgsk,7.407725e+01,1.138650e+02,1.114289e+02,1.386771e+02,1.442357e+01,cec2017/apgsk/apgsk_cec2017_D30.csv
cec2017,30,8,fdb-agsk,4.825920e+01,7.878139e+01,7.791659e+01,1.046755e+02,1.142051e+01,cec2017/fdb-agsk/fdb-agsk_cec2017_D30.csv
cec2017,30,8,atmals-gsk,4.284922e+01,8.462938e+01,8.324469e+01,1.274270e+02,2.014780e+01,cec2017/atmals-gsk/atmals-gsk_cec2017_D30.csv
cec2017,30,8,egsk,9.949591e+00,2.288405e+01,2.390742e+01,5.074276e+01,7.825659e+00,cec2017/egsk/egsk_cec2017_D30.csv
cec2017,30,8,dt-gsk,2.275978e+01,3.160975e+01,3.212385e+01,5.969746e+01,6.354848e+00,cec2017/dt-gsk/dt-gsk_cec2017_D30.csv
cec2017,30,9,gsk,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,cec2017/gsk/gsk_cec2017_D30.csv
cec2017,30,9,agsk,3.581130e-01,4.088874e+00,5.798967e+00,3.098687e+01,5.766212e+00,cec2017/agsk/agsk_cec2017_D30.csv
cec2017,30,9,apgsk,2.685848e-01,1.808838e+01,3.547060e+01,4.962407e+02,7.209725e+01,cec2017/apgsk/apgsk_cec2017_D30.csv
cec2017,30,9,fdb-agsk,2.752011e-01,1.540200e+00,2.934280e+00,2.064062e+01,3.551050e+00,cec2017/fdb-agsk/fdb-agsk_cec2017_D30.csv
cec2017,30,9,atmals-gsk,0.000000e+00,0.000000e+00,1.314762e-01,9.086480e-01,2.381299e-01,cec2017/atmals-gsk/atmals-gsk_cec2017_D30.csv
cec2017,30,9,egsk,0.000000e+00,0.000000e+00,1.755456e-03,8.952825e-02,1.253646e-02,cec2017/egsk/egsk_cec2017_D30.csv
cec2017,30,9,dt-gsk,0.000000e+00,0.000000e+00,3.510912e-03,8.952825e-02,1.755105e-02,cec2017/dt-gsk/dt-gsk_cec2017_D30.csv
cec2017,30,10,gsk,5.946057e+03,6.764853e+03,6.722522e+03,7.160448e+03,2.998146e+02,cec2017/gsk/gsk_cec2017_D30.csv
