suite,dimension,category,n_functions,algorithm,mean_rank,ism_wins,ism_ties,ism_losses
cec2017,50,composition,10,apgsk,5.300000e+00,9,0,1
cec2017,50,composition,10,fdb-agsk,3.900000e+00,7,0,3
cec2017,50,composition,10,atmals-gsk,4.600000e+00,10,0,0
cec2017,50,composition,10,egsk,3.300000e+00,4,0,6
cec2017,50,composition,10,dt-gsk,2.500000e+00,n/a,n/a,n/a
cec2017,100,unimodal,2,gsk,6.500000e+00,2,0,0
cec2017,100,unimodal,2,agsk,4.500000e+00,2,0,0
cec2017,100,unimodal,2,apgsk,5.000000e+00,2,0,0
cec2017,100,unimodal,2,fdb-agsk,2.500000e+00,1,0,1
cec2017,100,unimodal,2,atmals-gsk,3.500000e+00,2,0,0
cec2017,100,unimodal,2,egsk,4.000000e+00,1,0,1
cec2017,100,unimodal,2,dt-gsk,2.000000e+00,n/a,n/a,n/a
cec2017,100,simple_multimodal,7,gsk,4.571429e+00,7,0,0
cec2017,100,simple_multimodal,7,agsk,4.714286e+00,6,0,1
cec2017,100,simple_multimodal,7,apgsk,6.285714e+00,7,0,0
cec2017,100,simple_multimodal,7,fdb-agsk,4.857143e+00,7,0,0
cec2017,100,simple_multimodal,7,atmals-gsk,3.000000e+00,6,0,1
cec2017,100,simple_multimodal,7,egsk,2.857143e+00,4,0,3
cec2017,100,simple_multimodal,7,dt-gsk,1.714286e+00,n/a,n/a,n/a
cec2017,100,hybrid,10,gsk,4.200000e+00,7,0,3
cec2017,100,hybrid,10,agsk,4.600000e+00,9,0,1
cec2017,100,hybrid,10,apgsk,5.100000e+00,9,0,1
cec2017,100,hybrid,10,fdb-agsk,5.000000e+00,9,0,1
cec2017,100,hybrid,10,atmals-gsk,4.500000e+00,9,0,1
cec2017,100,hybrid,10,egsk,2.300000e+00,4,0,6
cec2017,100,hybrid,10,dt-gsk,2.300000e+00,n/a,n/a,n/a
cec2017,100,composition,10,gsk,3.000000e+00,4,0,6
cec2017,100,composition,10,agsk,5.200000e+00,9,0,1
cec2017,100,composition,10,apgsk,6.600000e+00,10,0,0
cec2017,100,composition,10,fdb-agsk,4.300000e+00,8,0,2
cec2017,100,composition,10,atmals-gsk,3.300000e+00,7,0,3
cec2017,100,composition,10,egsk,2.700000e+00,3,0,7
cec2017,100,composition,10,dt-gsk,2.900000e+00,n/a,n/a,n/a
