suite,dimension,function,comparator,test_level,n_pairs,statistic,p_raw,p_bh,outcome,availability
cec2017,50,11,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.170299e-09,win,ok
cec2017,50,11,atmals-gsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,2.048023e-09,win,ok
cec2017,50,11,egsk,per_function_runlevel,51,1.600000e+02,2.478040e-06,7.984795e-06,loss,ok
cec2017,50,12,gsk,per_function_runlevel,51,4.750000e+02,7.882827e-02,8.792384e-02,tie,ok
cec2017,50,12,agsk,per_function_runlevel,51,3.000000e+00,6.363059e-10,1.230191e-09,win,ok
cec2017,50,12,apgsk,per_function_runlevel,51,1.000000e+00,5.649717e-10,1.242038e-09,win,ok
cec2017,50,12,fdb-agsk,per_function_runlevel,51,0.000000e+00,5.322937e-10,1.170299e-09,win,ok
cec2017,50,12,atmals-gsk,per_function_runlevel,51,4.450000e+02,4.147694e-02,4.626274e-02,loss,ok
cec2017,50,12,egsk,per_function_runlevel,51,4.100000e+01,5.708468e-09,8.277279e-08,win,ok
cec2017,50,13,gsk,per_function_runlevel,51,2.200000e+01,1.935570e-09,3.742102e-09,win,ok
cec2017,50,13,agsk,per_function_runlevel,51,1.310000e+02,6.302901e-07,8.308370e-07,win,ok
cec2017,50,13,apgsk,per_function_runlevel,51,1.530000e+02,1.792361e-06,2.259934e-06,win,ok
cec2017,50,13,fdb-agsk,per_function_runlevel,51,1.810000e+02,6.387906e-06,8.054317e-06,win,ok
cec2017,50,13,atmals-gsk,per_function_runlevel,51,2.500000e+02,1.104252e-04,1.455605e-04,win,ok
cec2017,50,13,egsk,per_function_runlevel,51,1.910000e+02,9.897106e-06,2.391801e-05,loss,ok
cec2017,50,14,gsk,per_function_runlevel,51,5.000000e+00,7.164009e-10,1.731302e-09,win,ok
cec2017,50,14,agsk,per_function_runlevel,51,8.700000e+01,6.889674e-08,9.514312e-08,win,ok
cec2017,50,14,apgsk,per_function_runlevel,51,8.000000e+00,8.552874e-10,1.550208e-09,win,ok
cec2017,50,14,fdb-agsk,per_function_runlevel,51,7.300000e+01,3.290782e-08,4.544414e-08,win,ok
cec2017,50,14,atmals-gsk,per_function_runlevel,51,1.200000e+01,1.081929e-09,2.413533e-09,win,ok
cec2017,50,14,egsk,per_function_runlevel,51,4.330000e+02,3.145947e-02,4.146930e-02,win,ok
cec2017,50,15,gsk,per_function_runlevel,51,6.400000e+02,8.329630e-01,8.329630e-01,tie,ok
cec2017,50,15,agsk,per_function_runlevel,51,4.200000e+01,6.037671e-09,9.215393e-09,win,ok
cec2017,50,15,apgsk,per_function_runlevel,51,1.600000e+01,1.366751e-09,2.201988e-09,win,ok
cec2017,50,15,fdb-agsk,per_function_runlevel,51,3.400000e+01,3.846183e-09,5.870490e-09,win,ok
cec2017,50,15,atmals-gsk,per_function_runlevel,51,3.000000e+01,3.063501e-09,6.270231e-09,win,ok
cec2017,50,15,egsk,per_function_runlevel,51,4.990000e+02,1.253839e-01,1.454453e-01,tie,ok
