suite,dimension,function,comparator,n_runs,mean_diff,ci_low,ci_high,B,seed_scheme,availability
cec2017,30,4,gsk,51,1.010858e+01,3.536576e+00,1.820764e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,4,agsk,51,7.205318e+00,-1.313710e+00,1.631481e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,4,apgsk,51,1.053547e+01,3.966357e+00,1.824162e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,4,fdb-agsk,51,-2.103750e+01,-3.239754e+01,-9.287095e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,4,atmals-gsk,51,9.211589e+00,1.189632e+00,1.799719e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,4,egsk,51,8.641545e+00,4.300214e-01,1.740750e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,5,gsk,51,-1.273767e+02,-1.308753e+02,-1.225437e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,5,agsk,51,-6.077943e+01,-6.403353e+01,-5.689473e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,5,apgsk,51,-8.179480e+01,-8.635654e+01,-7.659038e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,5,fdb-agsk,51,-4.018560e+01,-4.310015e+01,-3.629837e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,5,atmals-gsk,51,-4.854090e+01,-5.445041e+01,-4.322801e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,5,egsk,51,1.100744e+01,8.225287e+00,1.507145e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,6,gsk,51,4.079174e-06,2.798183e-06,6.817292e-06,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,6,agsk,51,-2.074228e-05,-3.553623e-05,-1.277358e-05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,6,apgsk,51,-4.171123e-05,-8.448724e-05,-2.360828e-05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,6,fdb-agsk,51,-5.339559e-06,-1.373849e-05,-7.976809e-07,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,6,atmals-gsk,51,-8.359052e-05,-1.223026e-04,-5.910918e-05,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,6,egsk,51,1.276166e-07,-3.507706e-06,2.879107e-06,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,7,gsk,51,-1.175892e+02,-1.224555e+02,-1.106837e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,7,agsk,51,-5.474554e+01,-5.936449e+01,-4.790086e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,7,apgsk,51,-7.820030e+01,-8.616019e+01,-6.932583e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,7,fdb-agsk,51,-3.483867e+01,-3.998063e+01,-2.828079e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,7,atmals-gsk,51,-1.724387e+01,-2.370359e+01,-8.795853e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,7,egsk,51,1.757688e+01,1.325382e+01,2.462699e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,8,gsk,51,-1.270857e+02,-1.301211e+02,-1.231629e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,8,agsk,51,-6.447328e+01,-6.803691e+01,-6.053598e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,8,apgsk,51,-7.930507e+01,-8.326333e+01,-7.457017e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,8,fdb-agsk,51,-4.579274e+01,-4.921720e+01,-4.222411e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,8,atmals-gsk,51,-5.112084e+01,-5.682325e+01,-4.493464e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,8,egsk,51,8.216431e+00,5.357831e+00,1.112326e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,9,gsk,51,3.510912e-03,0.000000e+00,8.777279e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,9,agsk,51,-5.795456e+00,-7.770562e+00,-4.525507e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,9,apgsk,51,-3.546709e+01,-7.339800e+01,-2.324933e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,9,fdb-agsk,51,-2.930769e+00,-4.294488e+00,-2.214430e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,9,atmals-gsk,51,-1.279652e-01,-2.081401e-01,-7.289093e-02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,9,egsk,51,1.755456e-03,-5.266368e-03,7.021824e-03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,10,gsk,51,-2.788114e+03,-3.045860e+03,-2.583531e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,10,agsk,51,6.727677e+02,4.202102e+02,8.670327e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,10,apgsk,51,1.080597e+03,8.490873e+02,1.273111e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,10,fdb-agsk,51,7.208305e+02,4.837926e+02,9.123867e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,10,atmals-gsk,51,7.084959e+02,4.044329e+02,9.700566e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,10,egsk,51,-1.224342e+03,-1.545565e+03,-9.319858e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,11,gsk,51,-1.589788e+01,-2.706153e+01,-5.973688e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,11,agsk,51,-4.195209e+00,-8.489068e+00,2.420514e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,11,apgsk,51,-1.478595e+01,-1.941915e+01,-8.105040e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,11,fdb-agsk,51,-7.824919e+00,-1.438970e+01,-1.642526e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,11,atmals-gsk,51,-9.575004e+00,-1.747666e+01,-2.454875e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,11,egsk,51,4.361628e+00,-2.980171e+00,1.143015e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,12,gsk,51,4.211184e+02,-1.125634e+03,1.898764e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,12,agsk,51,-1.334673e+03,-3.226420e+03,4.561972e+02,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,12,apgsk,51,-6.687358e+03,-9.642711e+03,-4.350850e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,12,fdb-agsk,51,-3.405729e+03,-5.538660e+03,-1.523928e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,12,atmals-gsk,51,4.117006e+02,-1.225126e+03,1.997707e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,12,egsk,51,2.967802e+03,1.531421e+03,4.506362e+03,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,13,gsk,51,-7.403171e+01,-8.482780e+01,-6.499907e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,13,agsk,51,-2.994149e+01,-3.643143e+01,-2.499409e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,13,apgsk,51,-2.585367e+01,-3.112947e+01,-2.036853e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,13,fdb-agsk,51,-3.789997e+01,-4.777265e+01,-2.980078e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,13,atmals-gsk,51,-4.627451e+01,-6.659777e+01,-3.221670e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,13,egsk,51,-1.558691e+00,-5.800081e+00,2.156009e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,14,gsk,51,-2.453105e+01,-2.728600e+01,-2.073526e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,14,agsk,51,-6.910780e+00,-9.381575e+00,-3.552981e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,14,apgsk,51,-1.306865e+01,-1.701689e+01,-8.801914e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,14,fdb-agsk,51,-5.497283e+00,-7.813781e+00,-2.274160e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,14,atmals-gsk,51,-8.010774e+00,-1.131800e+01,-4.257398e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,14,egsk,51,7.577511e+00,5.277276e+00,1.080253e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,15,gsk,51,-8.478460e+00,-1.203716e+01,-5.490933e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,15,agsk,51,-9.864271e+00,-1.146814e+01,-7.529769e+00,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
cec2017,30,15,apgsk,51,-1.740472e+01,-2.443069e+01,-1.261368e+01,10000,"SS[20240620,suite,dim,func,cmpP1]",ok
