Eval,BestError,Log10Error
100,6.0057183364335815e+03,3.7785649602637155e+00
200,5.4446092661522753e+03,3.7359667179498532e+00
300,5.4186519578375774e+03,3.7338912570015386e+00
400,5.4186519578375774e+03,3.7338912570015386e+00
500,4.5127926411814642e+03,3.6544453785324214e+00
600,4.4834883231695567e+03,3.6516160430166456e+00
700,4.0502996685035305e+03,3.6074871564400723e+00
800,3.8832320161747120e+03,3.5891933396405920e+00
900,3.8832320161747120e+03,3.5891933396405920e+00
1000,3.8832320161747120e+03,3.5891933396405920e+00
1100,3.1886634059012472e+03,3.5036086777017670e+00
1200,3.1593943873848689e+03,3.4996038422945359e+00
1300,3.1593943873848689e+03,3.4996038422945359e+00
1400,3.0791522276017531e+03,3.4884311601513924e+00
1500,3.0791522276017531e+03,3.4884311601513924e+00
1600,3.0791522276017531e+03,3.4884311601513924e+00
1700,2.9086396144370401e+03,3.4636899147303533e+00
1800,2.9086396144370401e+03,3.4636899147303533e+00
1900,2.8394004609661479e+03,3.4532266485042968e+00
2000,2.8394004609661479e+03,3.4532266485042968e+00
2100,2.8394004609661479e+03,3.4532266485042968e+00
2200,2.8394004609661479e+03,3.4532266485042968e+00
2300,2.8394004609661479e+03,3.4532266485042968e+00
2400,2.8394004609661479e+03,3.4532266485042968e+00
2500,2.8394004609661479e+03,3.4532266485042968e+00
2600,2.8394004609661479e+03,3.4532266485042968e+00
2700,2.8394004609661479e+03,3.4532266485042968e+00
2800,2.7849637208889435e+03,3.4448195420877141e+00
2900,2.7150770588785817e+03,3.4337821601756313e+00
3000,2.7150770588785817e+03,3.4337821601756313e+00
3100,2.6613359197078335e+03,3.4250996956216366e+00
3200,2.6613359197078335e+03,3.4250996956216366e+00
3300,2.6613359197078335e+03,3.4250996956216366e+00
3400,2.5608930897232713e+03,3.4083914482410176e+00
3500,2.5608930897232713e+03,3.4083914482410176e+00
3600,2.5608930897232713e+03,3.4083914482410176e+00
3700,2.5608930897232713e+03,3.4083914482410176e+00
3800,2.5608930897232713e+03,3.4083914482410176e+00
3900,2.5608930897232713e+03,3.4083914482410176e+00
4000,2.5608930897232713e+03,3.4083914482410176e+00
4100,2.5608930897232713e+03,3.4083914482410176e+00
4200,2.5608930897232713e+03,3.4083914482410176e+00
4300,2.5608930897232713e+03,3.4083914482410176e+00
4400,2.5608930897232713e+03,3.4083914482410176e+00
4500,2.5608930897232713e+03,3.4083914482410176e+00
4600,2.5608930897232713e+03,3.4083914482410176e+00
4700,2.5608930897232713e+03,3.4083914482410176e+00
4800,2.5608930897232713e+03,3.4083914482410176e+00
4900,2.5608930897232713e+03,3.4083914482410176e+00
5000,2.5299710678520350e+03,3.4031155547157166e+00
5100,2.5299710678520350e+03,3.4031155547157166e+00
5200,2.3611553741714606e+03,3.3731245664624927e+00
5300,2.3195979501158599e+03,3.3654127162799354e+00
5400,2.3195979501158599e+03,3.3654127162799354e+00
5500,2.3195979501158599e+03,3.3654127162799354e+00
5600,2.3195979501158599e+03,3.3654127162799354e+00
5700,2.3195979501158599e+03,3.3654127162799354e+00
5800,2.3195979501158599e+03,3.3654127162799354e+00
5900,2.3195979501158599e+03,3.3654127162799354e+00
6000,2.3195979501158599e+03,3.3654127162799354e+00
6100,2.3195979501158599e+03,3.3654127162799354e+00
6200,2.3195979501158599e+03,3.3654127162799354e+00
6300,2.3195979501158599e+03,3.3654127162799354e+00
6400,2.3195979501158599e+03,3.3654127162799354e+00
6500,2.2488377772542226e+03,3.3519581281860291e+00
6600,2.2488377772542226e+03,3.3519581281860291e+00
6700,2.2488377772542226e+03,3.3519581281860291e+00
6800,2.1730792176856976e+03,3.3370755584312839e+00
6900,2.1730792176856976e+03,3.3370755584312839e+00
7000,2.1730792176856976e+03,3.3370755584312839e+00
7100,2.1730792176856976e+03,3.3370755584312839e+00
7200,2.1730792176856976e+03,3.3370755584312839e+00
7300,2.1730792176856976e+03,3.3370755584312839e+00
7400,1.9590758175909741e+03,3.2920512438172125e+00
7500,1.9590758175909741e+03,3.2920512438172125e+00
7600,1.9590758175909741e+03,3.2920512438172125e+00
7700,1.9590758175909741e+03,3.2920512438172125e+00
7800,1.9590758175909741e+03,3.2920512438172125e+00
7900,1.9324590302273655e+03,3.2861102952761110e+00
8000,1.9324590302273655e+03,3.2861102952761110e+00
8100,1.8525337533496167e+03,3.2677661296121974e+00
8200,1.8525337533496167e+03,3.2677661296121974e+00
8300,1.6353175517377140e+03,3.2136020980217004e+00
8400,1.3985288091246709e+03,3.1456714170893871e+00
8500,1.3985288091246709e+03,3.1456714170893871e+00
8600,1.3985288091246709e+03,3.1456714170893871e+00
8700,1.3782039725272380e+03,3.1393134973884016e+00
8800,1.1141582686832144e+03,3.0469468877259964e+00
8900,1.1141582686832144e+03,3.0469468877259964e+00
9000,1.1061490970386310e+03,3.0438136691540416e+00
9100,1.1061490970386310e+03,3.0438136691540416e+00
9200,1.1061490970386310e+03,3.0438136691540416e+00
9300,1.1061490970386310e+03,3.0438136691540416e+00
9400,1.1061490970386310e+03,3.0438136691540416e+00
9500,1.1061490970386310e+03,3.0438136691540416e+00
9600,1.1061490970386310e+03,3.0438136691540416e+00
9700,1.1061490970386310e+03,3.0438136691540416e+00
9800,1.1061490970386310e+03,3.0438136691540416e+00
9900,1.1061490970386310e+03,3.0438136691540416e+00
10000,1.1061490970386310e+03,3.0438136691540416e+00
10100,1.1061490970386310e+03,3.0438136691540416e+00
10200,1.1061490970386310e+03,3.0438136691540416e+00
10300,1.1061490970386310e+03,3.0438136691540416e+00
10400,1.1061490970386310e+03,3.0438136691540416e+00
10500,1.1061490970386310e+03,3.0438136691540416e+00
10600,1.1058846524434584e+03,3.0437098309291257e+00
10700,1.1058846524434584e+03,3.0437098309291257e+00
10800,1.1058846524434584e+03,3.0437098309291257e+00
10900,1.1058846524434584e+03,3.0437098309291257e+00
11000,1.0937423167934385e+03,3.0389150152546596e+00
11100,1.0937423167934385e+03,3.0389150152546596e+00
11200,1.0937423167934385e+03,3.0389150152546596e+00
11300,1.0937423167934385e+03,3.0389150152546596e+00
11400,1.0937423167934385e+03,3.0389150152546596e+00
11500,1.0937423167934385e+03,3.0389150152546596e+00
11600,1.0937423167934385e+03,3.0389150152546596e+00
11700,1.0937423167934385e+03,3.0389150152546596e+00
11800,1.0937423167934385e+03,3.0389150152546596e+00
11900,1.0937423167934385e+03,3.0389150152546596e+00
12000,1.0937423167934385e+03,3.0389150152546596e+00
12100,1.0937423167934385e+03,3.0389150152546596e+00
12200,1.0937423167934385e+03,3.0389150152546596e+00
12300,1.0875358008888670e+03,3.0364435625209856e+00
12400,1.0875358008888670e+03,3.0364435625209856e+00
12500,1.0875358008888670e+03,3.0364435625209856e+00
12600,1.0875358008888670e+03,3.0364435625209856e+00
12700,1.0875358008888670e+03,3.0364435625209856e+00
12800,1.0875358008888670e+03,3.0364435625209856e+00
12900,1.0875358008888670e+03,3.0364435625209856e+00
13000,1.0875358008888670e+03,3.0364435625209856e+00
13100,1.0875358008888670e+03,3.0364435625209856e+00
13200,1.0875358008888670e+03,3.0364435625209856e+00
13300,1.0875358008888670e+03,3.0364435625209856e+00
13400,1.0875358008888670e+03,3.0364435625209856e+00
13500,1.0875358008888670e+03,3.0364435625209856e+00
13600,1.0875358008888670e+03,3.0364435625209856e+00
13700,1.0875358008888670e+03,3.0364435625209856e+00
13800,1.0875358008888670e+03,3.0364435625209856e+00
13900,1.0875358008888670e+03,3.0364435625209856e+00
